local	gen	trat	bl	df	dm	aca	ap	avag	rend	p100
NAV	M-SOY 7908 RR	15	1	39	110	2	90	25	3033.22	16.7
NAV	M-SOY 7908 RR	15	2	39	110	1	60	10	3116.02	.
NAV	M-SOY 7908 RR	15	3	.	.	.	.	.	3983.87	.
NAV	NK 7059 RR	16	1	33	98	1	125	25	3345.58	15.1
NAV	NK 7059 RR	16	2	33	98	1	100	10	3987.54	.
NAV	NK 7059 RR	16	3	.	.	.	.	.	4690.59	.
NAV	BMX MAGNA RR	17	1	37	99	2	105	25	3700.38	12.6
NAV	BMX MAGNA RR	17	2	37	99	2	100	20	4840.93	.
NAV	BMX MAGNA RR	17	3	.	.	.	.	.	4366.96	.
NAV	BMX POTÊNCIA RR	18	1	33	108	1	130	25	4965.38	12.4
NAV	BMX POTÊNCIA RR	18	2	34	109	1	130	25	5241.69	.
NAV	BMX POTÊNCIA RR	18	3	.	.	.	.	.	4554.34	.
NAV	BRS 294 RR	19	1	30	97	1	65	10	3810.57	16.4
NAV	BRS 294 RR	19	2	31	97	1	65	10	3750.09	.
NAV	BRS 294 RR	19	3	.	.	.	.	.	4170.59	.
NAV	BR 02-04844	20	1	34	91	3	125	15	4152.80	13.8
NAV	BR 02-04844	20	2	34	91	2	125	15	3066.79	.
NAV	BR 02-04844	20	3	.	.	.	.	.	4510.86	.
NAV	BR 02-22425	21	1	38	89	1	60	10	3020.86	15.1
NAV	BR 02-22425	21	2	38	89	1	60	15	3338.06	.
NAV	BR 02-22425	21	3	.	.	.	.	.	2248.05	.
NAV	BR 01-25656	22	1	35	98	1	65	10	3920.00	13.8
NAV	BR 01-25656	22	2	35	98	1	60	10	4801.98	.
NAV	BR 01-25656	22	3	.	.	.	.	.	4869.71	.
NAV	BR 02-72914	23	1	37	111	1	75	10	3033.22	13.8
NAV	BR 02-72914	23	2	37	111	1	70	10	3116.02	.
NAV	BR 02-72914	23	3	.	.	.	.	.	3983.87	.
NAV	BR 02-68661	24	1	38	97	1	85	20	3345.58	13.7
NAV	BR 02-68661	24	2	38	97	1	85	15	3987.54	.
NAV	BR 02-68661	24	3	.	.	.	.	.	4690.59	.
NAV	BR 02-78838	25	1	43	99	1	90	20	3736.60	12
NAV	BR 02-78838	25	2	43	99	1	90	10	4026.80	.
NAV	BR 02-78838	25	3	.	.	.	.	.	3978.29	.
SIDROL	BRS 284	1	1	28	101	1	95	10	4171.63	14.2
SIDROL	BRS 284	1	2	29	100	1	.	.	4236.76	.
SIDROL	BRS 284	1	3	.	.	.	.	.	4010.01	.
SIDROL	BRS 285	2	1	44	112	1	85	12	4392.75	13.3
SIDROL	BRS 285	2	2	43	.	1	.	.	4255.80	.
SIDROL	BRS 285	2	3	.	.	.	.	.	3758.54	.
SIDROL	Vmax	3	1	30	99	1	83	10	3134.61	16
SIDROL	Vmax	3	2	31	98	1	.	.	3322.44	.
SIDROL	Vmax	3	3	.	.	.	.	.	3042.81	.
SIDROL	BRS 239	4	1	37	103	1	75	12	3552.56	15.6
SIDROL	BRS 239	4	2	36	102	1	.	.	4078.37	.
SIDROL	BRS 239	4	3	.	.	.	.	.	3424.98	.
SIDROL	CD 202	5	1	38	102	1	80	15	3662.79	15.3
SIDROL	CD 202	5	2	38	102	1	.	.	4907.45	.
SIDROL	CD 202	5	3	.	.	.	.	.	3836.49	.
SIDROL	Embrapa 48	6	1	36	108	1	60	10	3208.97	15.5
SIDROL	Embrapa 48	6	2	36	.	1	.	.	3383.14	.
SIDROL	Embrapa 48	6	3	.	.	.	.	.	4165.93	.
SIDROL	BRS 282	7	1	36	105	1	75	10	3277.24	13.4
SIDROL	BRS 282	7	2	38	104	1	.	.	3754.79	.
SIDROL	BRS 282	7	3	.	.	.	.	.	4194.26	.
SIDROL	BRS 268	8	1	41	103	1	95	15	4152.58	13.6
SIDROL	BRS 268	8	2	41	102	1	.	.	3788.85	.
SIDROL	BRS 268	8	3	.	.	.	.	.	3800.69	.
SIDROL	BRS 243 RR	9	1	42	108	1	70	12	3330.50	13.6
SIDROL	BRS 243 RR	9	2	44	.	1	.	.	3261.12	.
SIDROL	BRS 243 RR	9	3	.	.	.	.	.	4210.34	.
SIDROL	BRS 291 RR	10	1	38	101	1	75	12	2440.61	14.1
SIDROL	BRS 291 RR	10	2	40	101	1	.	.	2980.47	.
SIDROL	BRS 291 RR	10	3	.	.	.	.	.	3466.16	.
SIDROL	BRS 246 RR	11	1	40	107	1	70	12	3129.59	13
SIDROL	BRS 246 RR	11	2	41	.	1	.	.	3406.02	.
SIDROL	BRS 246 RR	11	3	.	.	.	.	.	3766.11	.
SIDROL	BRS 255 RR	12	1	40	106	1	75	15	3819.16	14.3
SIDROL	BRS 255 RR	12	2	38	105	1	.	.	3368.05	.
