preco	area	quartos	banheiros	vagas	suites	bairro
259000	54.59	2	NA	1	1	portao
255000	34	1	1	1	NA	portao
255000	63	2	1	1	1	portao
499000	140	3	2	2	1	portao
254900	56	3	1	2	1	portao
445000	66	2	2	1	1	portao
329000	62	3	2	1	1	portao
245000	66	3	1	1	NA	portao
609900	106	3	NA	2	1	portao
549000	146	3	3	2	1	portao
1986173	308	4	NA	3	3	portao
362000	88	3	2	1	1	portao
403000	137	3	1	1	1	portao
989900	129	NA	3	3	3	portao
943422	155	4	3	2	2	portao
1966881	308	4	3	3	2	portao
551586	99	3	2	2	1	portao
1610300	227	3	4	3	3	portao
757594	126	3	4	2	3	portao
588000	104.5	3	1	2	NA	portao
639000	105	3	2	2	1	portao
255000	34	1	2	1	1	portao
500000	97.9	3	1	1	NA	portao
673742	126	3	4	2	3	portao
1515961	242	3	4	3	3	portao
275000	79	3	2	2	1	portao
380000	78	3	2	1	1	portao
692000	131.8	3	NA	1	NA	portao
690000	104.92	3	NA	NA	1	portao
939900	106	3	NA	NA	1	portao
949000	155	3	NA	2	3	portao
289000	66	2	2	1	1	portao
598000	106	3	4	2	1	portao
734000	126.78	3	NA	2	3	portao
679719	126.78	3	NA	2	3	portao
450000	79.32	2	2	1	1	portao
871751	155.11	4	NA	2	2	portao
892570	129	3	NA	2	3	portao
600000	107	3	2	2	1	portao
619900	105	3	NA	2	1	portao
953434	129	3	NA	2	3	portao
305000	77	3	1	1	NA	portao
539900	105	2	2	2	1	portao
230000	59	3	1	1	NA	portao
699900	106	3	5	2	3	portao
206000	56	3	2	1	NA	portao
265000	53.94	2	NA	1	NA	portao
460000	110	3	1	2	1	portao
550000	135	2	NA	2	NA	portao
190000	62.1	2	NA	NA	NA	portao
502000	79.05	3	NA	NA	1	portao
799900	129	3	4	2	1	portao
308000	52	2	2	1	1	portao
410000	75	3	2	2	1	portao
195000	62.1	2	NA	NA	NA	portao
225000	78	2	1	1	NA	portao
626000	106	3	1	2	1	portao
200000	45.9	1	NA	1	NA	portao
170000	52	2	1	1	NA	portao
169000	67	3	1	NA	NA	portao
145000	27	1	1	NA	NA	portao
179000	50	2	2	1	1	portao
276000	62	3	1	1	NA	portao
1946568	308	4	NA	3	3	portao
498000	83	3	NA	3	1	portao
380000	91	3	1	1	1	portao
301000	116	2	2	1	1	portao
630000	106	3	3	2	2	portao
280000	53	2	2	1	1	portao
598000	106	3	4	2	1	portao
310000	90	3	2	1	NA	portao
944000	155	4	5	2	2	portao
381000	67	2	NA	1	NA	portao
290000	62	3	2	1	1	portao
285000	60	2	NA	1	NA	portao
981000	129	3	4	3	3	portao
361993	70	3	2	1	1	portao
248000	89	3	1	1	NA	portao
380000	78	3	2	1	1	portao
939900	129	3	NA	2	3	portao
320000	55	2	1	1	1	portao
480000	158	3	1	NA	NA	portao
1267948	227	4	NA	3	NA	portao
470000	101	3	1	NA	1	portao
196000	32.66	1	NA	1	NA	portao
680315	126	3	5	2	3	portao
285000	76	2	2	1	1	portao
270000	58	3	1	1	NA	portao
680000	126	3	NA	2	3	portao
799900	129	3	4	2	1	portao
445037	75	3	2	1	1	portao
944000	155	4	5	2	2	portao
609900	106	3	NA	2	1	portao
770000	129	3	4	2	3	portao
210000	60	3	1	1	NA	portao
374000	66	2	2	1	1	portao
225000	59.93	3	NA	NA	NA	portao
210000	45	2	1	1	NA	portao
128000	48	1	1	1	NA	portao
495000	116	3	3	1	1	portao
560000	105	3	1	2	NA	portao
280000	55	2	NA	1	NA	portao
175000	33	1	1	NA	1	portao
550000	84	3	2	3	1	portao
599900	105	3	NA	2	NA	portao
360000	80	3	2	1	1	portao
381300	76	3	NA	1	NA	portao
250000	89	2	1	1	NA	portao
385000	85	3	3	1	1	portao
230000	59	3	1	1	NA	portao
659900	126	3	5	2	3	portao
480000	136.75	3	2	2	2	portao
270800	61	2	2	1	1	portao
247000	65.4	2	NA	1	NA	portao
340000	80	3	2	1	1	portao
178000	56.63	3	NA	1	NA	portao
298000	99	2	NA	2	NA	portao
228200	52	2	2	1	1	portao
470000	80.44	3	2	1	1	portao
210000	45.15	2	NA	1	NA	portao
380000	113	3	2	2	1	portao
459000	77	3	NA	2	1	portao
415000	75.66	3	NA	1	1	portao
330000	62.74	2	NA	2	NA	portao
1300000	140	3	4	3	3	portao
239000	66	2	2	1	1	portao
370000	102	3	2	1	1	portao
188000	83	2	1	1	NA	portao
190000	59	3	1	1	NA	portao
199000	80	3	1	NA	NA	portao
279900	55	2	1	1	NA	portao
342539	62	2	2	1	1	portao
270800	61	2	2	1	1	portao
262000	81	3	2	1	NA	portao
687227	127	3	NA	2	3	portao
200000	60	3	NA	1	NA	portao
298000	62	2	1	NA	1	portao
333000	69	2	1	1	1	portao
780000	105	NA	1	2	NA	portao
188000	74.68	2	NA	1	NA	portao
420000	79	3	2	1	1	portao
665000	105	3	3	2	1	portao
498000	83	3	NA	3	1	portao
680350	126.78	3	NA	2	3	portao
232000	67	3	2	1	1	portao
240000	57.18	3	NA	1	1	portao
365000	75	3	NA	1	1	portao
260000	60	2	NA	1	NA	portao
160000	32.54	1	NA	NA	NA	portao
355000	80.13	3	2	1	1	portao
598000	106	3	4	2	1	portao
270800	61	2	2	1	1	portao
220000	82	3	1	NA	NA	portao
952676	155.11	4	NA	2	3	portao
424000	79	3	NA	1	1	portao
290000	55	2	1	1	NA	portao
320000	85	3	1	1	1	portao
210000	49	2	1	1	1	portao
573500	121	3	NA	2	NA	portao
238000	60	3	1	1	NA	portao
160000	34	1	1	1	NA	portao
280000	76	3	2	1	NA	portao
349100	71	2	NA	1	NA	portao
215000	50	2	1	1	NA	portao
289000	48	2	1	1	NA	portao
285000	62	2	2	1	1	portao
265000	57	3	2	2	1	portao
310000	75	3	1	1	1	portao
1300000	174	3	5	3	3	portao
730000	129	3	NA	2	3	portao
750000	126	3	4	2	3	portao
760000	196	3	3	2	1	portao
308100	66	2	2	1	1	portao
410000	75	3	2	2	1	portao
275000	60	3	2	1	1	portao
340000	66	2	2	1	1	portao
207000	56	3	1	NA	NA	portao
290000	62	2	1	1	NA	portao
944366	155	4	NA	2	3	portao
340000	92	3	2	1	1	portao
320000	75	2	1	1	1	portao
220000	70	3	NA	1	NA	portao
180000	32	1	1	1	NA	portao
470000	198	3	2	2	1	portao
370000	71	3	2	1	1	portao
189700	33	1	1	NA	NA	portao
280000	81	3	1	1	NA	portao
857408	155	3	6	2	3	portao
612315	126	3	6	2	3	portao
330000	75.59	3	NA	NA	1	portao
609900	106	3	2	2	1	portao
879900	129	3	5	2	3	portao
280000	56	2	1	1	NA	portao
400000	109	3	2	1	1	portao
320000	75	2	NA	1	NA	portao
