## Experimento feito por Walmes Marques Zeviani durante graduação na
## Fazenda Dinorah com a cultura do milho para avaliar a adubação com
## cama de frango.
##
## Experimento conduzido em blocos casualizados com arranjo fatorial de
## 3 níveis de manejo com 5 níveis de dose de cama de frango. As doses
## foram 0, 2, 4, 8 e 16 ton/ha e os manejos foram cama incorporada ao
## solo com niveladora (incorp), incorporada com semeadura tendo 120
## kg/ha de NPK e cama a lanço mas semeadura com 120 de kg/ha de NPK. As
## variáveis medidas em 5 plantas por parcela foram:
##
## alespg: ALTURA DE ESPIGAS (cm).
## altplnt: ALTURA DE PLANTAS (cm).
##
manejo	cama	bloco	planta	altespg	altplnt
incorp120	16	2	4	66	120
incorp120	16	2	5	67	108.5
incorp120	16	3	1	53	113
incorp120	16	3	2	75	136
incorp120	16	3	3	58	97
incorp120	16	3	4	76	136
incorp120	16	3	5	65	122
incorp120	16	4	1	76	147
incorp120	16	4	2	78	152
incorp120	16	4	3	66	132
incorp120	16	4	4	64	123
incorp120	16	4	5	74	124
lanco120	0	1	1	59	130
lanco120	0	1	2	64	123
lanco120	0	1	3	67	151
lanco120	0	1	4	71	160
lanco120	0	1	5	69	132
lanco120	0	3	1	35	76
lanco120	0	3	2	34	85
lanco120	0	3	3	29	59
lanco120	0	3	4	28	76
lanco120	0	3	5	28	61
lanco120	0	4	1	40	99
lanco120	0	4	2	40	91
lanco120	0	4	3	36	88
lanco120	0	4	4	42	87
lanco120	0	4	5	36	69
lanco120	2	1	1	72	128
lanco120	2	1	2	63	128
lanco120	2	1	3	33	105
lanco120	2	1	4	57	119
lanco120	2	1	5	71	144
lanco120	2	2	1	63	140
lanco120	2	2	2	62	135
lanco120	2	2	3	51	123
lanco120	2	2	4	57	134
lanco120	2	2	5	59	127
lanco120	2	3	1	42	89
lanco120	2	3	2	49	92
lanco120	2	3	3	49	92
lanco120	2	3	4	51	101
lanco120	2	3	5	58	111
lanco120	2	4	1	35	73
lanco120	2	4	2	38	79
lanco120	2	4	3	28	71
lanco120	2	4	4	29	41
lanco120	2	4	5	33	71
lanco120	4	3	1	69	131.5
lanco120	4	3	2	54	107.5
lanco120	4	3	3	56.5	105.5
lanco120	4	3	4	41	111.5
lanco120	4	3	5	57.5	120.5
lanco120	4	4	1	55	96
lanco120	4	4	2	41	76
lanco120	4	4	3	52	112
lanco120	4	4	4	62	115
lanco120	4	4	5	54	104
lanco120	8	1	1	54.5	111.5
lanco120	8	1	2	56	115
lanco120	8	1	3	61.5	115
lanco120	8	1	4	69.5	136
lanco120	8	1	5	72	118.5
lanco120	8	2	1	71.3333333333333	131
lanco120	8	2	2	68.3333333333333	131.666666666667
lanco120	8	2	3	64.6666666666667	136.666666666667
lanco120	8	2	4	66	136.333333333333
lanco120	8	2	5	68.3333333333333	136.666666666667
lanco120	8	4	1	59	130
lanco120	8	4	2	66	128
lanco120	8	4	3	65	126
lanco120	8	4	4	63	114
lanco120	8	4	5	46	80
lanco120	16	1	1	83	153
lanco120	16	1	2	92	163
lanco120	16	1	3	91	132
lanco120	16	1	4	77	160
lanco120	16	1	5	67	143
lanco120	16	2	1	59	108
lanco120	16	2	2	66	119
lanco120	16	2	3	64	130
lanco120	16	2	4	63	118
lanco120	16	2	5	69	133
lanco120	16	3	1	74	140
lanco120	16	3	2	72	151
lanco120	16	3	3	81	158
lanco120	16	3	4	72	140
lanco120	16	3	5	85	152
lanco120	16	4	1	82	153
lanco120	16	4	2	76	155
lanco120	16	4	3	62	155
lanco120	16	4	4	76	170
lanco120	16	4	5	66	132
