agregado	familia	cinza	bloco	rept	data	altura
4 a 10	F29	48	2	1	2012/03/09	7.8
4 a 10	F29	48	2	2	2012/03/09	6.5
4 a 10	F29	48	3	1	2012/03/09	6.5
4 a 10	F29	48	3	2	2012/03/09	6.5
4 a 10	F48	0	1	1	2012/03/09	15.5
4 a 10	F48	0	1	2	2012/03/09	14.8
4 a 10	F48	0	2	1	2012/03/09	11.5
4 a 10	F48	0	2	2	2012/03/09	9.0
4 a 10	F48	0	3	1	2012/03/09	12.5
4 a 10	F48	0	3	2	2012/03/09	9.5
4 a 10	F48	1.5	1	1	2012/03/09	4.0
4 a 10	F48	1.5	1	2	2012/03/09	10.0
4 a 10	F48	1.5	2	1	2012/03/09	5.5
4 a 10	F48	1.5	2	2	2012/03/09	13.5
4 a 10	F48	1.5	3	1	2012/03/09	7.0
4 a 10	F48	1.5	3	2	2012/03/09	6.8
4 a 10	F48	3	1	1	2012/03/09	15.0
4 a 10	F48	3	1	2	2012/03/09	14.0
4 a 10	F48	3	2	1	2012/03/09	16.0
4 a 10	F48	3	2	2	2012/03/09	12.5
4 a 10	F48	3	3	1	2012/03/09	13.0
4 a 10	F48	3	3	2	2012/03/09	14.3
4 a 10	F48	6	1	1	2012/03/09	6.5
4 a 10	F48	6	1	2	2012/03/09	9.0
4 a 10	F48	6	2	1	2012/03/09	7.5
4 a 10	F48	6	2	2	2012/03/09	9.0
4 a 10	F48	6	3	1	2012/03/09	9.0
4 a 10	F48	6	3	2	2012/03/09	10.0
4 a 10	F48	12	1	1	2012/03/09	17.0
4 a 10	F48	12	1	2	2012/03/09	14.0
4 a 10	F48	12	2	1	2012/03/09	12.5
4 a 10	F48	12	2	2	2012/03/09	13.0
4 a 10	F48	12	3	1	2012/03/09	7.5
4 a 10	F48	12	3	2	2012/03/09	11.0
4 a 10	F48	24	1	1	2012/03/09	10.5
4 a 10	F48	24	1	2	2012/03/09	13.5
4 a 10	F48	24	2	1	2012/03/09	7.5
4 a 10	F48	24	2	2	2012/03/09	11.5
4 a 10	F48	24	3	1	2012/03/09	9.5
4 a 10	F48	24	3	2	2012/03/09	9.0
4 a 10	F48	48	1	1	2012/03/09	14.5
4 a 10	F48	48	1	2	2012/03/09	13.5
4 a 10	F48	48	2	1	2012/03/09	13.0
4 a 10	F48	48	2	2	2012/03/09	10.5
4 a 10	F48	48	3	1	2012/03/09	11.5
4 a 10	F48	48	3	2	2012/03/09	13.0
<2	F29	0	1	1	2012/03/09	12.0
<2	F29	0	1	2	2012/03/09	12.5
<2	F29	0	2	1	2012/03/09	6.5
<2	F29	0	2	2	2012/03/09	11.5
<2	F29	0	3	1	2012/03/09	7.8
<2	F29	0	3	2	2012/03/09	8.3
<2	F29	1.5	1	1	2012/03/09	19.0
<2	F29	1.5	1	2	2012/03/09	13.5
<2	F29	1.5	2	1	2012/03/09	20.0
<2	F29	1.5	2	2	2012/03/09	15.5
<2	F29	1.5	3	1	2012/03/09	16.0
<2	F29	1.5	3	2	2012/03/09	18.5
<2	F29	3	1	1	2012/03/09	11.0
<2	F29	3	1	2	2012/03/09	6.0
