preco	area	nquart	nbanh	nvaga	nsuit	bairro
480000	114	3	3	1	1	Agua Verde
569900	114	3	3	2	1	Agua Verde
550000	120	1	3	2	1	Agua Verde
205000	45	2	1	1	NA	Agua Verde
995000	162	4	4	2	2	Agua Verde
229000	56	2	1	1	NA	Agua Verde
755200	96	3	3	2	1	Agua Verde
330000	84	3	2	1	1	Agua Verde
585000	94	3	2	2	1	Agua Verde
1320000	188	4	3	3	2	Agua Verde
444515	77	2	2	2	1	Agua Verde
930000	145	3	NA	2	1	Agua Verde
1320000	188	4	3	3	2	Agua Verde
341150	47	1	1	1	1	Agua Verde
646900	119	3	3	3	1	Agua Verde
679720	126	3	5	2	3	Agua Verde
916417	NA	3	NA	2	3	Agua Verde
1980000	220	3	1	3	3	Agua Verde
954000	147	3	3	NA	1	Agua Verde
440000	87	3	2	1	1	Agua Verde
285000	75	3	3	1	1	Agua Verde
541000	75	2	2	2	1	Agua Verde
1100000	158	4	3	2	2	Agua Verde
444515	77	2	2	2	1	Agua Verde
341130	47	1	1	1	1	Agua Verde
395000	72	2	2	1	1	Agua Verde
916000	NA	4	NA	3	1	Agua Verde
444900	77	2	2	2	1	Agua Verde
444400	77	2	2	2	1	Agua Verde
590000	95	3	2	2	1	Agua Verde
355000	70	4	1	1	NA	Agua Verde
550000	94	3	2	2	1	Agua Verde
1552000	181	3	5	2	3	Agua Verde
495000	171	3	4	2	1	Agua Verde
802000	214	3	1	NA	NA	Agua Verde
341100	47	1	1	1	1	Agua Verde
1200000	252	4	5	3	2	Agua Verde
444500	77	2	2	2	1	Agua Verde
598000	106	3	4	2	1	Agua Verde
655900	119	3	4	2	1	Agua Verde
763300	147	3	3	2	3	Agua Verde
590000	93.9	3	NA	2	1	Agua Verde
1380000	192	3	4	2	3	Agua Verde
420000	89	3	3	2	1	Agua Verde
444450	77	2	2	2	1	Agua Verde
205000	45	2	1	1	NA	Agua Verde
769000	213	2	1	NA	NA	Agua Verde
335000	85	3	NA	1	1	Agua Verde
550000	124	3	3	1	1	Agua Verde
425000	113.66	3	NA	1	1	Agua Verde
798000	204.5	4	NA	2	1	Agua Verde
564173	100	3	3	2	2	Agua Verde
538640	100	3	3	2	2	Agua Verde
360000	126.3	3	1	1	NA	Agua Verde
916418	163	3	4	2	3	Agua Verde
750000	167	3	3	2	1	Agua Verde
460000	110.5	3	NA	1	NA	Agua Verde
630000	102.2	3	NA	2	NA	Agua Verde
450000	80.3	3	NA	2	NA	Agua Verde
850000	150.2	3	3	2	1	Agua Verde
598000	106	3	4	2	1	Agua Verde
369000	80	3	3	1	1	Agua Verde
843000	147	4	3	3	1	Agua Verde
545660	148.09	2	NA	1	1	Agua Verde
210939	29	1	1	1	1	Agua Verde
1410000	188.8	4	NA	3	NA	Agua Verde
1410000	188.8	4	NA	3	NA	Agua Verde
780000	142.14	4	2	2	1	Agua Verde
1100000	183.4	4	NA	2	NA	Agua Verde
490000	95.9	3	NA	1	NA	Agua Verde
460000	109.68	3	3	2	1	Agua Verde
1185000	158.1	4	NA	3	NA	Agua Verde
360000	104.8	2	NA	1	NA	Agua Verde
450000	107.07	2	2	1	NA	Agua Verde
670000	117	3	NA	2	NA	Agua Verde
