## Dados de resposabilidade de Alexandre Bryan Heinemann, pesquisador
## da Embrapa Arroz e Feijão. Experimento para avaliação de cultivares de
## arroz foi instaldo em delineamento de blocos casualizados para avaliar o
## efeito do espaçamento de cultivo nos componentes de produção das
## cultivares. O experimento foi repetido tem 3 locais sendo que em um
## deles fez-se em dois anos, perfazendo 4 repetições do experimento.
## 
## local: indica o local de condução do ensaio.
## ano: indica o ano de condução do ensaio.
## parc: indica a parcela dentro do ensaio.
## bl: indica o bloco dentro do ensaio.
## cult: indica a cultivar de arroz.
## esp: espaçamento de cultivo (m).
## rend: rendimento de grãos (kg ha^{-1}).
## ester: esterelidade (%).
## npan: número (médio) de panículas.
## p100: peso de 100 grãos (g).
## local2: é a concatenação de local com ano.
## ng_pan: número de grãos por panícula.
## As demais variáveis são ambientais e não medidas ao nível das
## parcelas. Os valores são os mesmos para todas as parcelas de uma mesma
## cultivar:local:ano, ou seja, não mudam de bloco para bloco.
##
local	ano	parc	bl	cult	esp	rend	ester	npan	p100	ng_pan	prect	precv	precr	gdet	gdev	gder	rad	txdesv	tdesr	local2
2	2009	201	2	C	0.25	27	NA	208	1.3	4.8	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	206	2	C	0.35	NA	63.4	131.4	1.7	6.5	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	207	4	C	0.45	146	53.3	113.3	1.9	8.1	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	208	1	C	0.45	NA	51.1	106.7	NA	4.8	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	210	1	C	0.55	27	NA	80	NA	4.3	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	302	3	C	0.25	58	64.7	216	1.4	6.4	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	306	3	C	0.35	69	60.6	82.9	2.3	6.8	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	309	2	C	0.45	70	NA	55.6	1.8	4.5	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	312	2	C	0.55	61	57.6	87.3	1.5	5	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	402	4	C	0.25	148	61.5	188	1.4	9.6	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	405	4	C	0.35	61	60	105.7	NA	9.1	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	408	3	C	0.45	72	NA	88.9	2.1	8	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	412	3	C	0.55	155	NA	85.5	2.1	9.3	566.4	285.5	66.1	1841.5	921.5	367	NA	0.000682	0.000938	Formoso
2	2009	101	1	D	0.25	49	83.6	224	2	4.9	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	106	1	D	0.35	343	97.6	122.9	2	2.6	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	108	1	D	0.45	90	82	11.1	1.5	5	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	111	1	D	0.55	81	74.4	109.1	1.9	4.4	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	203	2	D	0.25	85	100	124	0.8	1.3	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	204	2	D	0.35	169	82.4	145.7	0.6	5.8	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	209	2	D	0.45	46	NA	126.7	2.6	11.4	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	211	2	D	0.55	144	96.3	96.4	0.7	3.7	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	301	3	D	0.25	11	95	108	2.1	1.8	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	304	3	D	0.35	58	82.5	88.6	1.3	4.3	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	308	3	D	0.45	33	95.8	122.2	NA	2.5	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	311	3	D	0.55	42	91.1	112.7	1.4	4.2	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	401	4	D	0.25	NA	95	184	NA	1.9	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
2	2009	406	4	D	0.35	12	95	154.3	2.2	5	443.4	218.9	80	1608.6	664.6	487	NA	0.000938	0.000716	Formoso
