modelo	cor	km	ano	valor	cambio	poten	trac	cat	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	58760	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	58760	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2013	58790	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	1000	2014/2014	58800	MANUAL	1.6	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2014/2014	58890	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	58900	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Branco	NA	2013/2013	58900	MANUAL	2.0	4X4	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Branco	40000	2012/2013	58900	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P MANUAL	Verde	20500	2013/2014	58900	MANUAL	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	58990	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	NA	2013/2014	58990	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Verde	15000	2012/2013	58990	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	0	2013/2014	59400	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Prata	0	2013/2014	59480	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	4100	2013/2014	59800	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	59890	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	11900	2013/2014	59900	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Prata	0	2013/2014	59980	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P MANUAL	Branco	NA	2013/2014	59990	MANUAL	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Prata	0	2013/2014	59990	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	10000	2013/2013	59999	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Verde	16000	2013/2013	60000	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	60100	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Prata	NA	2012/2013	60500	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Verde	0	2013/2014	61000	MANUAL	1.6	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Verde	0	2013/2014	61890	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	61990	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	63000	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	63100	MANUAL	2.0	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Prata	0	2013/2014	63990	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Preto	0	2013/2014	63990	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 TECH ROAD 4X2 16V FLEX 4P AUTOMÁTICO	Branco	0	2013/2014	64890	AUTOMÁTICO	2.0	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Prata	0	2013/2014	64900	MANUAL	2.0	4X4	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Verde	0	2013/2014	65900	MANUAL	2.0	4X2	 DYNAMIQUE 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X4 16V FLEX 4P MANUAL	Prata	0	2013/2014	66828.71	MANUAL	2.0	4X4	 DYNAMIQUE 	novo
RENAULT DUSTER 1.6 TECH ROAD 4X2 16V FLEX 4P MANUAL	Prata	0	2013/2014	68400	MANUAL	1.6	4X2	 TECH ROAD 	novo
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P AUTOMÁTICO	Preto	20000	2012/2013	68500	AUTOMÁTICO	2.0	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Cinza	49500	2011/2012	38000	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Prata	53000	2011/2012	42500	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Cinza	NA	2011/2012	42900	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Preto	NA	2012/2013	42900	MANUAL	1.6	4X2	 DYNAMIQUE 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Cinza	39000	2011/2012	42990	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Verde	64000	2011/2012	42990	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Prata	43000	2011/2012	43900	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 4X2 16V FLEX 4P MANUAL	Preto	NA	2012/2013	44000	MANUAL	1.6	4X2	 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Vermelho	NA	2011/2012	44900	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL	Preto	NA	2011/2012	44900	MANUAL	1.6	4X2	 EXPRESSION 	usado
RENAULT DUSTER 2.0 DYNAMIQUE 4X2 16V FLEX 4P MANUAL	Prata	57000	2011/2012	45700	MANUAL	2.0	4X2	 DYNAMIQUE 	usado
