#-----------------------------------------------------------------------
# Tabela de dados extraída do site <http://www.inmet.gov.br/portal/index.php?r=clima/graficosClimaticos>.
#
# A tabela contém dados mensais para as Normais Climatológicas do Brasil
# de 1961-1990 da variável Insolação Total (horas). Dados extraídos dia
# 2019-11-30.
#
# Leitura no R com:
# url <- "http://leg.ufpr.br/~walmes/data/inmet-insolacao-total.txt"
# tb <- read.table(url,
#                  header = TRUE,
#                  comment = "#",
#                  sep = "\t",
#                  dec = ",",
#                  na.strings = "-",
#                  stringsAsFactors = FALSE)
#-----------------------------------------------------------------------
Código 	Nome da Estação	UF	Janeiro	Fevereiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro	Ano
82591*	Mossoró	RN	231,7	194,4	186,4	190,3	217,1	211,3	228,3	269,1	271,7	290,3	281,0	256,5	2828,1
82598	Natal	RN	276,9	235,1	225,9	194,8	216,1	204,3	217,0	247,1	256,8	299,9	300,3	294,2	2968,4
82825	Porto Velho	RO	107,1	98,3	124,0	140,1	183,7	226,7	259,7	234,0	186,8	166,7	137,1	124,2	1988,4
82024	Boa Vista	RR	177,8	148,2	142,4	129,2	138,3	93,5	136,6	155,3	200,7	204,8	195,8	173,5	1896,1
82042*	Caracaraí	RR	192,7	164,1	171,1	148,3	126,1	105,2	151,7	181,1	173,0	209,3	202,7	188,8	2014,1
83931	Alegrete	RS	273,4	247,1	232,8	207,5	196,3	155,1	164,7	185,2	186,6	239,9	276,1	296,4	2661,1
83980	Bagé	RS	242,4	198,1	194,6	168,4	161,7	115,9	137,7	134,5	149,1	201,9	220,7	256,9	2181,9
83919	Bom Jesus	RS	194,7	172,5	183,9	162,3	153,2	130,6	143,0	138,8	140,7	188,2	191,5	140,7	1940,1
83942	Caxias do Sul	RS	208,3	185,8	183,9	185,1	165,6	146,6	154,2	141,9	142,3	180,9	199,7	212,1	2106,4
83964	Encruzilhada do Sul	RS	232,5	196,1	191,8	174,1	166,6	142,8	157,6	155,5	152,8	188,6	222,5	248,7	2229,6
83881	Iraí	RS	240,7	199,6	198,7	183,1	171,6	141,2	150,8	157,0	146,3	201,0	216,5	253,1	2259,6
83914	Passo Fundo	RS	238,8	208,1	207,0	185,2	181,1	153,7	162,6	161,1	154,9	202,3	220,6	254,2	2329,6
83967	Porto Alegre	RS	239,0	208,1	200,7	180,3	166,1	136,0	148,6	151,1	151,2	201,9	216,6	245,2	2244,8
83995	Rio Grande	RS	266,5	214,1	210,5	192,3	175,1	126,6	135,8	156,5	153,7	209,4	228,2	269,6	2338,3
83936	Santa Maria	RS	225,2	196,7	184,9	168,7	151,3	125,0	133,1	141,4	160,7	206,8	223,3	244,7	2161,8
83997	Santa Vitória do Palmar	RS	268,0	216,0	214,9	196,9	175,3	143,6	144,7	163,1	164,5	209,5	237,6	263,2	2397,3
83907	São Luiz Gonzaga	RS	238,1	205,2	217,0	206,8	182,7	142,9	161,4	160,3	160,8	207,4	214,7	246,8	2344,1
83948	Torres	RS	206,2	182,6	187,9	190,5	179,7	151,9	163,0	157,8	151,2	180,2	203,9	222,2	2177,1
83927	Uruguaiana	RS	276,3	237,6	228,5	211,0	186,8	140,8	162,5	181,4	185,9	242,8	266,1	290,5	2610,2
83887	Campos Novos	SC	216,0	203,9	205,5	198,4	192,7	160,4	174,2	166,4	171,8	210,5	226,5	234,0	2360,3
83883	Chapecó	SC	228,6	198,3	222,3	188,9	184,3	159,8	176,3	168,4	165,0	211,7	229,3	237,6	2370,5
83897	Florianópolis	SC	201,1	185,1	194,1	195,1	185,0	163,2	169,5	152,6	129,4	159,1	173,9	188,7	2096,8
83872	Indaial	SC	178,6	161,2	164,2	159,5	153,8	138,2	139,5	121,5	110,7	137,6	149,4	152,2	1766,4
83891	Lages	SC	208,8	184,7	173,6	165,6	177,9	147,0	153,8	161,9	128,6	165,3	197,2	223,9	2088,3
83924	Laguna	SC	202,7	176,7	179,5	184,4	191,2	156,3	168,0	163,3	129,2	168,1	191,7	220,7	2131,8
83864	Porto União	SC	135,4	133,1	132,7	132,3	117,8	104,2	106,7	113,3	112,2	135,8	155,3	141,3	1520,1
83920	São Joaquim	SC	138,3	127,4	143,5	150,2	139,9	123,0	146,3	111,4	129,7	157,5	152,9	154,1	1674,2
83096	Aracaju	SE	264,1	224,3	234,1	210,6	205,0	176,7	200,7	221,9	218,5	250,6	262,9	251,6	2721,0
83195	Itabaianinha	SE	196,6	156,5	164,2	160,7	163,5	152,9	165,9	174,0	151,3	198,9	195,6	193,5	2073,6
83097	Propriá	SE	228,7	193,3	199,9	173,8	171,2	153,1	160,8	187,0	196,8	222,6	229,3	225,4	2341,9
83672	Araçatuba	SP	214,6	208,2	229,9	243,3	233,0	225,6	244,8	253,8	200,3	226,4	236,9	197,6	2714,4
83625	Barretos	SP	207,5	191,2	226,9	248,3	258,9	246,6	268,8	266,2	220,2	207,9	228,9	189,9	2761,3
83729	Campinas	SP	195,7	195,5	221,3	237,2	237,0	223,8	252,6	247,6	203,8	214,5	-	176,6	-
83714	Campos do Jordão	SP	135,3	118,2	150,9	167,2	181,8	176,7	203,7	199,2	160,6	147,3	136,4	117,0	1894,3
83676	Catanduva	SP	204,7	191,2	224,8	244,9	242,0	239,8	259,7	258,7	213,8	222,5	234,5	202,7	2739,3
83626	Colina	SP	210,2	196,4	229,9	249,1	261,9	245,5	258,3	256,0	211,2	204,3	226,5	201,7	2751,0
83760	Coop. Agrícola de Cotia	SP	172,0	-	182,9	187,4	190,6	167,1	186,8	196,6	166,2	146,2	168,8	156,1	-
83204	Fazenda Ipanema (Est. Desativada)	SP	194,1	172,2	213,7	230,5	226,1	200,0	227,1	235,7	204,7	191,9	215,6	192,8	2504,4
83630	Franca	SP	172,4	171,4	197,2	213,3	237,5	238,2	262,5	248,8	195,9	201,8	191,3	165,2	2495,5
83821	Iguape	SP	162,0	143,5	139,3	129,7	140,6	119,9	121,5	100,0	72,3	100,6	126,5	142,7	1498,6
83774	Itapeva	SP	198,0	179,7	191,3	183,0	185,4	174,4	205,8	196,2	163,5	200,2	186,6	177,8	2241,9
83716	Presidente Prudente	SP	203,6	193,6	220,6	230,4	214,1	198,5	229,0	216,8	172,8	212,7	227,1	194,5	2513,7
83782	Santos	SP	155,8	149,4	153,8	144,9	158,7	141,3	153,0	136,3	88,3	107,8	132,3	134,3	1655,9
83726	São Carlos	SP	183,2	182,3	199,5	197,8	215,2	206,4	237,2	223,7	184,1	210,7	190,3	154,3	2384,7
83809	São José dos Campos	SP	180,2	151,3	179,2	179,3	176,4	180,4	189,4	198,6	156,8	148,4	165,1	163,4	2068,5
83781	São Paulo (Mir. de Santana)	SP	170,6	162,2	167,1	165,8	182,3	172,6	187,1	175,3	152,6	153,9	163,0	150,8	2003,3
83669	São Simão	SP	191,1	179,9	217,6	237,3	240,1	234,4	251,8	253,3	206,0	204,1	200,9	171,5	2588,0
83784	Taubaté	SP	170,0	168,2	179,5	177,3	176,1	175,6	188,9	186,2	158,8	148,8	161,5	155,0	2045,9
83857	Tremembé	SP	158,5	146,2	161,8	168,8	166,7	163,9	188,4	187,1	154,8	148,9	161,2	142,2	1948,5
83786	Ubatuba	SP	149,1	148,0	156,2	143,1	149,7	157,0	156,8	143,4	108,9	104,3	124,1	129,5	1670,1
83629	Usina Junqueira	SP	183,8	154,5	214,6	239,2	249,3	237,6	255,9	257,9	209,9	181,7	213,8	177,9	2576,1
83623	Votuporanga	SP	187,1	198,5	198,3	218,7	194,7	222,0	249,2	232,7	199,8	225,4	220,9	184,5	2531,8
83033*	Palmas	TO	186,4	159,1	168,8	236,8	246,4	197,2	196,9	192,5	151,4	168,9	184,7	204,0	2293,1
82863	Pedro Afonso	TO	148,8	135,2	155,9	194,9	250,1	264,0	280,4	273,7	199,5	171,5	159,6	144,5	2378,1
83228	Peixe	TO	155,2	142,1	161,6	205,5	255,5	277,3	294,1	283,8	191,3	178,1	162,3	144,9	2451,7
83064	Porto Nacional	TO	152,7	130,0	146,3	186,7	263,5	276,1	300,7	291,0	208,1	172,3	166,9	153,0	2447,3
83235	Taguatinga	TO	154,2	141,6	170,3	196,8	240,1	244,5	268,0	258,3	209,7	169,2	146,6	139,3	2338,6
