experimento	semente	inseticida	tratamento	repeticao	estande	producao
2008916C03	AG8088	SEM INS	2	4	61250	6146.12
2008916C03	AG8088YG	COM INS	3	4	62500	6890.8
2008916C03	AG8088YG	COM INS	3	1	61250	6951.72
2008916C03	AG8088YG	COM INS	3	2	62500	7125
2008916C03	AG8088YG	COM INS	3	5	60000	6951.72
2008916C03	AG8088YG	COM INS	3	3	60000	7233.33
2008916C03	AG8088YG	SEM INS	4	5	60000	6257.18
2008916C03	AG8088YG	SEM INS	4	3	62500	6943.68
2008916C03	AG8088YG	SEM INS	4	2	61250	6991.95
2008916C03	AG8088YG	SEM INS	4	4	61250	7607.47
2008916C03	AG8088YG	SEM INS	4	1	62500	6556.47
2008916C04	DKB390	COM INS	1	1	58750	7517.24
2008916C04	DKB390	COM INS	1	5	58750	4711.78
2008916C04	DKB390	COM INS	1	4	60000	7198.71
2008916C04	DKB390	COM INS	1	3	60000	6160.2
2008916C04	DKB390	COM INS	1	2	60000	7182.33
2008916C04	DKB390	SEM INS	2	3	58750	5310.34
2008916C04	DKB390	SEM INS	2	5	57500	5663.79
2008916C04	DKB390	SEM INS	2	2	60000	6938.22
2008916C04	DKB390	SEM INS	2	1	55000	7250
2008916C04	DKB390	SEM INS	2	4	58750	6617.39
2008916C04	DKB390YG	COM INS	3	3	62500	7291.67
2008916C04	DKB390YG	COM INS	3	2	62500	8896.55
2008916C04	DKB390YG	COM INS	3	4	61250	7375
2008916C04	DKB390YG	COM INS	3	1	62500	7972.41
2008916C04	DKB390YG	COM INS	3	5	62500	7500
2008916C04	DKB390YG	SEM INS	4	1	58750	7508.62
2008916C04	DKB390YG	SEM INS	4	3	61250	8040.95
2008916C04	DKB390YG	SEM INS	4	2	62500	9412.64
2008916C04	DKB390YG	SEM INS	4	4	61250	5716.95
2008916C04	DKB390YG	SEM INS	4	5	60000	7258.33
2008A17YG1	DKB390	COM INS	3	3	61333	9606
2008A17YG1	DKB390	COM INS	3	1	58667	9547
2008A17YG1	DKB390	COM INS	3	2	61333	10223
2008A17YG1	DKB390	COM INS	3	4	60000	10158
2008A17YG1	DKB390	COM INS	3	5	60000	9469
2008A17YG1	DKB390	SEM INS	4	3	60000	10027
2008A17YG1	DKB390	SEM INS	4	5	61333	8980
2008A17YG1	DKB390	SEM INS	4	4	61333	9161
2008A17YG1	DKB390	SEM INS	4	2	62667	10006
2008A17YG1	DKB390	SEM INS	4	1	60000	9809
2008A17YG1	DKB390YG	COM INS	1	5	60000	11187
2008A17YG1	DKB390YG	COM INS	1	1	60000	10356
2008A17YG1	DKB390YG	COM INS	1	2	62667	10753
2008A17YG1	DKB390YG	COM INS	1	4	61333	10113
2008A17YG1	DKB390YG	COM INS	1	3	58667	11057
2008A17YG1	DKB390YG	SEM INS	2	1	61333	10702
2008A17YG1	DKB390YG	SEM INS	2	2	64000	11354
2008A17YG1	DKB390YG	SEM INS	2	4	60000	10263
2008A17YG1	DKB390YG	SEM INS	2	3	62667	10324
2008A17YG1	DKB390YG	SEM INS	2	5	61333	10029
2008E97204	DKB390	COM INS	1	5	57143	13166
2008E97204	DKB390	COM INS	1	3	57143	11567
2008E97204	DKB390	COM INS	1	4	55556	12998
2008E97204	DKB390	COM INS	1	2	57143	13378
2008E97204	DKB390	COM INS	1	1	55556	13195
2008E97204	DKB390	SEM INS	2	5	55556	13264
2008E97204	DKB390	SEM INS	2	1	55556	11075
2008E97204	DKB390	SEM INS	2	2	57143	12783
2008E97204	DKB390	SEM INS	2	3	55556	11935
2008E97204	DKB390	SEM INS	2	4	55556	10578
2008E97204	DKB390YG	COM INS	3	5	58730	13139
2008E97204	DKB390YG	COM INS	3	2	58730	13684
