## Dados de responsabilidade de Grasiela Bruzamarello Tognon
## (http://lattes.cnpq.br/2911532137112895), acadêmica de pós graduação
## em produção vegetal, UFPR.
##
## O experimento avaliou o efeito de soluções (trat) para ?conservação
## das estacas e foi repetido nas 4 estações do ano (est).
## 
## As respostas avaliadas foram medidas de características de coloração
## das estacas (L, a, b, E), o peso e a classificação quanto à
## viabilidade comercial (nota de 1 à 3). Foram consideradas 10 estacas
## (unidades experimentais, UE) para cada nível solução em cada
## estação. O registro das respostas foi feito ao longo do tempo (dias,
## medidas repetidas nas memas UE)
## 
## trat = {
##   1: Controle,
##   2: Ácido citrico (100 ml^{-1}),
##   3: Metabissulfito de sódio (10 mM),
##   4: Ácido cítrico + Sacarose (4%),
##   5: Metabissulfito de sódio + Sacarose (4%)
## }
## 
## L: define a luminosidade (L = 0: preto e L = 100: branco).
## 
## a e b: associam-se a cromaticidade, (“+a”, vermelho, “-a”, verde e
## “+b”, amarelo, “-b”, azul).
## 
## E: delta E, coloração como um todo.
## 
## peso: hastes pesadas em cada dia de avaliação por meio de balança
## analítica de precisão (gramas).
## 
## escala: escala de classificação de viabilidade:  
## 1) Cladódios verdes brilhantes sem manchas escuras (oxidação) ao
##    longo da haste. Hastes túrgidas. VIÁVEIS.
## 2) Cladódios verdes brilhantes com manchas escuras (oxidação) somente
##    na porção basal da haste. Hastes túrgidas e sem danos. VIÁVEIS.
## 3) Cladódios apresentando manchas escuras (oxidação) na porção
##    mediana e/ou apical da haste. Hastes secas (com aspecto
##    quebradiço). DESCARTE.
##
est	dias	trat	rept	L	a	b	AE	peso	escala
verão	1	2	9	41.39	-10.41	15.82	26.94	18.70	1
verão	1	2	10	42.65	-14.19	21.55	33.33	8.99	1
verão	1	3	1	40.36	-11.37	16.89	27.52	25.44	1
verão	1	3	2	41.53	-11.65	18.22	29.22	25.87	1
verão	1	3	3	43.99	-12.66	19.47	31.94	24.09	1
verão	1	3	4	41.52	-9.37	15.69	26.49	11.78	1
verão	1	3	5	39.22	-937.00	16.10	25.43	35.04	1
verão	1	3	6	39.67	-13.88	21.75	31.87	10.05	1
verão	1	3	7	39.27	-9.23	17.38	26.31	10.09	1
verão	1	3	8	41.64	-8.14	14.68	25.39	15.94	1
verão	1	3	9	41.49	-11.08	18.23	28.94	13.47	1
verão	1	3	10	42.42	-8.34	13.77	25.41	31.06	1
verão	1	4	1	37.42	-10.78	14.63	24.11	10.20	1
verão	1	4	2	42.77	-10.85	15.22	27.62	25.72	1
verão	1	4	3	37.28	-10.97	17.34	26.08	11.26	1
verão	1	4	4	44.68	-12.24	19.77	32.36	20.23	1
verão	1	4	5	41.13	-12.47	19.59	30.33	18.97	1
verão	1	4	6	42.33	-14.60	23.19	34.54	15.86	1
verão	1	4	7	46.27	-11.24	17.68	31.59	15.54	1
verão	1	4	8	40.69	-13.14	20.62	31.17	11.06	1
verão	1	4	9	40.01	-10.69	15.90	26.32	33.10	1
verão	1	4	10	38.87	-9.37	14.21	23.92	12.76	1
verão	1	5	1	42.87	-8.54	12.22	24.88	16.64	1
verão	1	5	2	42.15	-12.17	17.71	29.46	11.66	1
verão	1	5	3	39.38	-12.14	17.76	27.98	22.48	1
verão	1	5	4	38.25	-9.09	12.71	22.43	18.75	1
verão	1	5	5	40.23	-7.77	10.89	21.95	19.13	1
verão	1	5	6	40.49	-12.83	18.42	29.11	16.96	1
verão	1	5	7	40.32	-12.73	18.19	29.06	13.48	1
verão	1	5	8	37.33	-9.74	14.06	23.14	22.38	1
verão	1	5	9	40.22	-8.51	12.23	23.06	12.01	1
verão	1	5	10	38.71	-10.78	15.41	25.33	24.88	1
verão	3	1	1	41.79	-10.24	15.97	27.21	13.44	1
verão	3	1	2	39.39	-3.42	12.65	21.01	17.68	3
verão	3	1	3	34.65	-5.48	14.85	20.59	33.43	3
verão	3	1	4	44.00	-12.90	22.11	33.87	23.06	1
verão	3	1	5	41.11	-11.39	17.82	28.58	12.99	1
verão	3	1	6	41.49	-11.89	17.89	29.04	9.39	1
verão	3	1	7	48.31	-11.50	17.95	33.26	7.61	1
verão	3	1	8	38.11	-8.27	16.82	24.89	14.04	3
verão	3	1	9	41.49	-11.72	15.97	27.72	11.71	1
verão	3	1	10	50.31	-10.39	23.06	37.46	8.23	2
verão	3	2	1	39.66	-10.14	15.34	25.49	21.41	1
verão	3	2	2	39.67	-12.65	17.97	28.53	20.94	1
verão	3	2	3	41.89	-11.78	18.53	29.69	12.72	1
verão	3	2	4	42.18	-10.24	15.25	26.96	43.57	1
verão	3	2	5	37.47	-12.86	17.30	27.11	16.18	1
verão	3	2	6	43.84	-11.63	18.23	30.56	17.62	1
verão	3	2	7	41.53	-12.65	18.29	29.73	15.91	1
verão	3	2	8	40.38	-11.41	16.94	27.58	17.24	1
verão	3	2	9	44.53	-13.44	22.50	34.67	18.32	1
verão	3	2	10	44.55	-13.76	19.92	33.07	8.40	1
verão	3	3	1	39.66	-11.64	16.21	26.80	27.24	1
verão	3	3	2	43.91	-13.60	21.16	33.46	26.38	1
verão	3	3	3	46.47	-13.10	21.26	34.81	25.07	1
verão	3	3	4	43.01	-13.22	19.37	31.56	11.69	1
verão	3	3	5	39.90	-9.96	14.69	24.65	34.96	1
verão	3	3	6	41.56	-14.06	21.48	32.66	10.32	1
verão	3	3	7	36.96	-10.78	20.55	29.20	9.54	1
verão	3	3	8	37.27	-8.69	14.48	22.91	15.44	2
verão	3	3	9	37.88	-10.47	16.62	25.46	13.49	2
verão	3	3	10	43.92	-10.87	19.44	31.11	30.30	2
verão	3	4	1	37.66	-11.10	14.56	24.36	9.84	1
verão	3	4	2	38.85	-10.80	15.47	25.20	27.06	1
verão	3	4	3	41.92	-11.57	17.75	29.08	11.22	1
verão	3	4	4	45.03	-12.62	20.71	33.37	21.12	1
verão	3	4	5	41.01	-12.51	18.10	29.25	19.69	1
verão	3	4	6	39.77	-13.03	19.16	29.60	15.02	1
verão	3	4	7	47.46	-11.66	17.25	32.32	15.79	1
verão	3	4	8	40.52	-13.36	20.46	31.09	10.95	1
verão	3	4	9	39.60	-10.67	15.44	25.78	34.25	1
verão	3	4	10	40.58	-10.80	15.56	26.47	12.61	1
verão	3	5	1	43.19	-8.79	11.99	25.09	16.01	1
verão	3	5	2	39.15	-12.90	18.23	28.58	10.80	1
verão	3	5	3	39.14	-11.96	16.55	26.92	23.12	1
verão	3	5	4	39.67	-9.87	12.86	23.75	19.06	1
verão	3	5	5	44.74	-8.49	12.06	26.14	19.02	1
verão	3	5	6	40.40	-12.41	18.04	28.84	17.44	1
verão	3	5	7	37.62	-12.18	18.64	27.80	13.59	1
verão	3	5	8	38.32	-9.85	13.37	23.27	22.04	1
verão	3	5	9	40.36	-9.44	13.27	24.23	12.38	1
verão	3	5	10	41.89	-12.67	18.63	30.17	25.03	1
verão	5	1	1	45.78	-12.52	20.39	33.56	12.00	2
verão	5	1	2	40.60	-0.22	14.82	22.86	11.46	3
verão	5	1	3	41.47	-2.63	17.59	25.80	27.10	3
verão	5	1	4	42.87	-12.25	18.25	30.28	22.51	2
verão	5	1	5	40.91	-11.09	16.55	27.46	12.76	1
verão	5	1	6	42.33	-12.46	19.09	30.63	9.12	1
verão	5	1	7	46.19	-11.89	17.51	31.71	7.68	2
verão	5	1	8	44.91	-5.87	19.02	29.73	8.84	3
verão	5	1	9	41.31	-11.70	15.65	27.40	11.34	1
verão	5	1	10	45.69	-4.10	17.84	29.09	10.72	3
verão	5	2	1	45.65	-12.24	20.52	33.39	19.83	1
verão	5	2	2	46.75	-11.59	19.69	33.33	7.65	1
verão	5	2	3	41.31	-11.95	18.12	19.16	20.02	2
verão	5	2	4	42.83	-10.62	16.11	28.11	19.70	2
verão	5	2	5	39.54	-13.03	16.81	27.86	11.12	2
verão	5	2	6	42.55	-10.71	15.02	27.29	40.70	1
verão	5	2	7	44.69	-13.73	22.25	34.72	15.69	1
verão	5	2	8	40.22	-11.68	16.70	27.46	17.25	2
verão	5	2	9	46.76	-12.78	21.39	34.94	14.95	2
verão	5	2	10	45.02	-16.07	24.19	37.34	7.94	1
verão	5	3	1	45.42	-14.15	20.86	34.38	25.60	2
verão	5	3	2	46.49	-14.32	22.87	36.44	24.88	2
verão	5	3	3	42.39	-12.48	18.25	30.10	22.52	2
verão	5	3	4	36.81	-9.87	17.09	25.15	10.95	2
verão	5	3	5	40.24	-9.38	15.61	25.66	31.66	2
verão	5	3	6	41.31	-11.05	20.32	30.32	10.05	2
verão	5	3	7	43.64	-9.59	17.97	29.40	8.43	1
verão	5	3	8	45.17	-11.18	19.84	32.27	13.86	2
verão	5	3	9	43.20	-9.62	17.52	28.85	12.44	2
verão	5	3	10	42.74	-11.29	18.92	30.28	26.58	2
verão	5	4	1	42.21	-13.87	18.66	30.96	9.37	1
verão	5	4	2	38.75	-9.72	13.51	23.55	26.01	1
verão	5	4	3	41.11	-11.58	16.52	27.79	10.19	2
verão	5	4	4	40.77	-10.89	15.86	26.83	20.32	1
verão	5	4	5	41.75	-12.94	18.56	30.18	19.55	1
verão	5	4	6	43.41	-14.99	22.40	34.71	14.04	1
verão	5	4	7	41.56	-10.51	19.27	29.47	15.11	1
verão	5	4	8	40.27	-13.60	19.48	30.38	10.35	1
verão	5	4	9	45.59	-12.41	19.23	32.64	31.08	2
verão	5	4	10	41.77	-11.27	15.62	27.44	12.10	1
verão	5	5	1	45.36	-11.47	16.14	30.14	15.66	2
verão	5	5	2	41.66	-12.29	16.31	28.31	9.28	2
verão	5	5	3	37.95	-11.68	15.56	25.49	22.27	1
verão	5	5	4	37.11	-8.96	11.23	20.75	18.32	1
verão	5	5	5	47.05	-9.71	14.08	29.42	18.92	2
verão	5	5	6	37.82	-12.09	16.85	26.54	17.46	1
verão	5	5	7	43.21	-13.50	20.24	32.40	12.66	1
verão	5	5	8	38.33	-10.89	15.41	25.18	20.51	2
verão	5	5	9	39.39	-8.77	11.57	22.26	12.04	2
verão	5	5	10	40.57	-12.77	17.71	28.88	24.11	1
verão	7	1	1	43.76	-11.49	14.62	25.10	9.00	3
verão	7	1	2	40.55	-2.58	18.04	25.58	10.79	3
verão	7	1	3	44.81	-4.03	22.10	31.57	22.59	3
verão	7	1	4	44.38	-9.89	14.43	27.79	21.47	2
verão	7	1	5	40.15	-11.69	18.88	28.95	12.23	2
