arvore	amostra	A	B	C	D	E
5	5	 2.4034 	 2.1985 	 3.4335 	 3.1091 	 2.6149 
5	6	 2.7682 	 2.0885 	 2.7682 	 2.7468 	 2.4034 
5	7	 2.3032 	 3.0901 	 2.4996 	 2.4034 	 2.6816 
5	8	 2.6816 	 2.0885 	 2.4034 	 3.1655 	 2.9336 
5	9	 3.4335 	 3.1655 	 2.7682 	 2.4034 	 2.7682 
5	10	 2.6149 	 3.1655 	 2.0885 	 2.0020 	 3.5015 
5	11	 1.8490 	 2.0601 	 1.8490 	 3.1655 	 2.6149 
5	12	 3.4506 	 2.4034 	 2.0601 	 3.9148 	 2.4759 
5	13	 3.1655 	 2.1715 	 2.4278 	 3.1091 	 2.0020 
5	14	 2.7682 	 3.4335 	 2.7682 	 3.5015 	 2.7682 
5	15	 2.9336 	 2.4278 	 1.8490 	 2.7682 	 2.1985 
5	16	 2.0885 	 2.4278 	 2.0885 	 2.4996 	 1.9423 
5	17	 2.7682 	 3.2573 	 2.4278 	 3.5847 	 2.0885 
5	18	 2.4278 	 3.6980 	 1.5355 	 3.4335 	 1.8490 
5	19	 3.7768 	 3.1655 	 2.4278 	 4.0188 	 2.4278 
5	20	 1.8490 	 4.6193 	 2.0885 	 2.9536 	 3.3816 
5	21	 2.6149 	 3.2573 	 1.7167 	 2.6149 	 2.9336 
5	22	 3.1091 	 3.1655 	 1.7167 	 3.2573 	 2.8313 
5	23	 2.7468 	 2.8313 	 1.0858 	 2.1985 	 2.6149 
5	24	 2.9336 	 3.1655 	 2.0601 	 3.3990 	 2.4996 
5	25	 2.3032 	 2.4759 	 2.0601 	 2.8313 	 2.0885 
5	26	 2.1715 	 2.4034 	 1.7167 	 3.2391 	 2.0601 
5	27	 2.7682 	 1.7167 	 2.1715 	 2.7682 	 3.1655 
5	28	 3.0901 	 1.7167 	 2.6149 	 2.7682 	 1.5355 
5	29	 3.1091 	 1.7507 	 2.1715 	 3.5847 	 2.4996 
5	30	 2.0020 	 2.7682 	 2.0601 	 2.1715 	 2.7468 

