#------------------------------------------------------------------------------------------
# dados de análise de imagens de agregados (análise morfométrica) de amostras de solo
# identificadas por dois níveis de profundidade de coleta. As variáveis observadas foram:
# área: area (da projeção no plano) do agregado;
# perimetro: perimetro do poligono (obtido da projeção no plano) do agregado;
# aspecto e roundness: medidas relativas à forma de um círculo;
# maioreixo e menoreixo: retas de maior e menor comprimentos com extremos na borda;
# dados obtidos na Universidade Federal da Grande Dourados pela acadêmica de Agronomia
# (na época) Carla Eloize Carducci.
#------------------------------------------------------------------------------------------
profundidade	area	perimetro	aspecto	roundness	maioreixo	menoreixo
5	0.0035	0.20	0.7619	0.8356	20	15
5	0.0058	0.30	1.0000	0.8259	23	23
5	0.0035	0.20	0.7619	0.8677	20	15
5	0.0058	0.30	0.6452	0.6927	30	19
5	0.0054	0.30	1.0000	0.9105	21	21
5	0.0037	0.20	0.8095	0.8946	20	16
5	0.0074	0.30	1.0000	0.8772	24	24
5	0.0050	0.30	0.9524	0.9197	20	19
5	0.0078	0.30	0.8889	0.8855	26	23
5	0.0041	0.20	0.8571	0.9382	20	17
5	0.0026	0.20	0.8824	0.9556	16	14
5	0.0039	0.20	0.9500	0.8547	19	18
5	0.0043	0.20	0.7727	0.8830	21	16
5	0.0040	0.30	0.5926	0.6690	26	15
5	0.0056	0.30	0.9565	0.8951	22	21
5	0.0062	0.30	0.9600	0.7300	24	23
5	0.0024	0.20	0.9375	0.9350	15	14
5	0.0048	0.30	0.7826	0.8325	22	17
5	0.0051	0.30	0.8696	0.8426	22	19
5	0.0056	0.30	0.8800	0.7358	24	21
5	0.0044	0.30	0.8182	0.8329	21	17
5	0.0034	0.20	0.7619	0.8445	20	15
5	0.0036	0.20	0.9000	0.8918	19	17
5	0.0083	0.30	0.9630	0.8866	26	25
5	0.0051	0.30	0.8333	0.8452	23	19
5	0.0069	0.30	0.6333	0.8114	29	18
5	0.0035	0.20	0.7273	0.8407	21	15
5	0.0048	0.30	0.9091	0.8990	21	19
5	0.0052	0.30	0.7917	0.9005	23	18
5	0.0051	0.30	0.9545	0.9012	21	20
5	0.0040	0.20	1.0000	0.9172	19	19
5	0.0090	0.40	0.9333	0.9030	29	27
5	0.0049	0.30	0.7917	0.8715	23	18
5	0.0049	0.30	0.8333	0.8028	23	19
5	0.0079	0.30	1.0000	0.8337	25	25
5	0.0086	0.40	0.8065	0.8425	30	24
5	0.0029	0.20	0.8889	0.8851	17	15
5	0.0033	0.20	0.8000	0.8932	19	15
5	0.0039	0.20	1.0000	0.8969	18	18
5	0.0047	0.20	0.9524	0.9474	20	19
5	0.0039	0.20	0.9500	0.8890	19	18
5	0.0053	0.30	0.9565	0.8985	22	21
5	0.0042	0.20	0.9500	0.9123	19	18
5	0.0040	0.30	0.6667	0.7824	23	15
5	0.0044	0.20	0.8571	0.9725	20	17
5	0.0062	0.30	0.9583	0.9065	23	22
5	0.0023	0.20	0.8125	0.9670	15	12
5	0.0030	0.20	0.8421	0.8929	18	15
5	0.0050	0.30	0.9545	0.8614	21	20
5	0.0048	0.30	0.9167	0.7543	23	21
5	0.0036	0.20	0.7143	0.8599	20	14
5	0.0069	0.30	0.7778	0.8995	26	20
5	0.0037	0.20	0.9500	0.7771	19	18
5	0.0039	0.20	0.8182	0.8729	21	17
5	0.0088	0.40	0.6471	0.8505	33	21
5	0.0047	0.30	0.7500	0.8228	23	17
5	0.0051	0.30	0.9200	0.8001	24	22
5	0.0048	0.30	0.7500	0.9097	23	17
5	0.0037	0.20	1.0000	0.8672	18	18
5	0.0046	0.30	0.6800	0.6283	24	16
5	0.0022	0.20	0.9375	0.8254	15	14
5	0.0057	0.30	0.8077	0.7968	25	20
5	0.0064	0.30	0.9200	0.8961	24	22
5	0.0042	0.20	0.7727	0.8857	21	16
5	0.0042	0.20	0.9524	0.9227	20	19
5	0.0026	0.20	0.7778	0.9040	17	13
5	0.0044	0.30	0.8636	0.8487	21	18
5	0.0029	0.20	0.8889	0.9017	17	15
5	0.0070	0.30	0.8621	0.7881	28	24
5	0.0058	0.30	0.6774	0.6632	30	20
5	0.0036	0.20	0.7727	0.8411	21	16
5	0.0069	0.30	0.6452	0.7770	30	19
5	0.0046	0.30	0.7692	0.6990	25	19
5	0.0064	0.30	0.9583	0.8976	23	22
5	0.0050	0.30	0.8333	0.8811	23	19
5	0.0038	0.30	0.6296	0.6187	26	16
5	0.0050	0.30	0.8333	0.8550	23	19
5	0.0051	0.30	0.9524	0.8711	20	19
5	0.0020	0.20	0.6667	0.8398	17	11
5	0.0054	0.30	0.7600	0.8559	24	18
5	0.0042	0.20	0.8182	0.8468	21	17
5	0.0031	0.20	0.8421	0.8631	18	15
5	0.0049	0.30	0.9130	0.8269	22	20
5	0.0073	0.30	0.8667	0.7518	29	25
5	0.0040	0.30	1.0000	0.7292	20	20
5	0.0064	0.30	0.9231	0.8622	25	23
5	0.0037	0.20	0.7727	0.8614	21	16
5	0.0054	0.30	0.8400	0.7475	24	20
5	0.0056	0.30	0.8077	0.8249	25	20
5	0.0028	0.20	1.0000	0.9305	16	16
5	0.0039	0.20	0.9500	0.8190	19	18
5	0.0046	0.30	0.7083	0.8816	23	16
5	0.0063	0.30	0.9231	0.8152	25	23
5	0.0059	0.30	0.9167	0.9029	23	21
5	0.0033	0.20	0.8947	0.9033	18	16
5	0.0065	0.30	0.8800	0.9028	24	21
5	0.0053	0.30	0.7917	0.8889	23	18
5	0.0057	0.30	0.9600	0.7753	24	23
5	0.0042	0.20	0.7727	0.8778	21	16
5	0.0056	0.30	0.7037	0.8421	26	18
5	0.0075	0.30	0.9630	0.8602	26	25
5	0.0047	0.30	0.7500	0.8615	23	17
5	0.0051	0.30	0.9545	0.8941	21	20
5	0.0039	0.20	0.9500	0.8765	19	18
5	0.0019	0.20	0.6111	0.8523	17	10
5	0.0042	0.20	0.7727	0.8857	21	16
5	0.0044	0.20	0.9524	0.9246	20	19
5	0.0069	0.30	0.7931	0.7903	28	22
5	0.0022	0.20	0.8750	0.8396	15	13
5	0.0056	0.30	0.6786	0.8055	27	18
5	0.0066	0.30	0.7143	0.8505	27	19
5	0.0030	0.20	1.0000	0.7736	17	17
5	0.0057	0.30	1.0000	0.9063	21	21
5	0.0045	0.30	0.6667	0.6495	26	17
5	0.0028	0.20	0.8333	0.9159	17	14
5	0.0049	0.30	0.9524	0.8954	20	19
5	0.0059	0.30	0.9200	0.8828	24	22
5	0.0028	0.20	0.8500	0.7919	19	16
5	0.0028	0.20	0.7368	0.8703	18	13
5	0.0056	0.30	0.6333	0.6895	29	18
5	0.0019	0.20	0.7500	0.9087	15	11
5	0.0056	0.30	0.9130	0.8340	22	20
5	0.0073	0.40	0.8065	0.7355	30	24
5	0.0035	0.20	0.9444	0.9306	17	16
5	0.0025	0.20	1.0000	0.9267	15	15
5	0.0040	0.20	0.9500	0.9057	19	18
5	0.0039	0.20	0.8947	0.9204	18	16
5	0.0055	0.30	0.9200	0.7705	24	22
5	0.0043	0.30	0.8261	0.8584	22	18
5	0.0071	0.30	0.7333	0.7993	29	21
5	0.0034	0.20	1.0000	0.8720	17	17
5	0.0055	0.30	0.7692	0.7430	25	19
5	0.0030	0.20	0.9412	0.9705	16	15
5	0.0034	0.20	0.9000	0.7612	19	17
5	0.0072	0.40	0.8387	0.6920	30	25
5	0.0047	0.30	0.9565	0.8165	22	21
5	0.0047	0.30	0.8261	0.8306	22	18
5	0.0062	0.30	0.8400	0.8245	24	20
5	0.0048	0.30	1.0000	0.9278	20	20
5	0.0075	0.30	0.8929	0.8072	27	24
5	0.0095	0.40	0.5385	0.7546	38	20
20	0.0068	0.30	0.9615	0.8458	25	24
20	0.0049	0.30	0.9091	0.9273	21	19
20	0.0051	0.30	0.6333	0.5873	29	18
20	0.0042	0.30	0.8636	0.7402	21	18
20	0.0056	0.30	0.9583	0.7784	23	22
20	0.0030	0.20	0.7895	0.9189	18	14
20	0.0055	0.30	0.8846	0.7427	25	22
20	0.0050	0.30	0.9130	0.8581	22	20
20	0.0052	0.30	0.9565	0.7627	22	21
20	0.0053	0.30	0.8750	0.6411	23	20
20	0.0080	0.40	0.8966	0.8000	28	25
20	0.0044	0.30	0.7917	0.7762	23	18
20	0.0077	0.30	0.7667	0.8751	29	22
20	0.0045	0.30	0.8636	0.8709	21	18
20	0.0073	0.40	0.7647	0.5869	33	25
20	0.0060	0.30	0.8800	0.8697	24	21
20	0.0045	0.30	0.7826	0.9063	22	17
20	0.0066	0.30	0.6667	0.7040	29	19
20	0.0047	0.30	0.8696	0.8779	22	19
20	0.0035	0.30	0.6818	0.6885	21	14
20	0.0040	0.20	0.9500	0.8668	19	18
20	0.0031	0.20	0.8889	0.9768	17	15
20	0.0042	0.20	0.9048	0.8886	20	18
20	0.0053	0.30	0.6667	0.7814	26	17
20	0.0066	0.30	0.7500	0.8762	27	20
20	0.0059	0.30	0.6000	0.7549	29	17
20	0.0054	0.30	0.8400	0.8439	24	20
20	0.0057	0.30	0.8077	0.8019	25	20
20	0.0040	0.20	0.9500	0.9211	19	18
20	0.0064	0.30	0.8214	0.7375	27	22
20	0.0065	0.30	0.9583	0.9182	23	22
20	0.0055	0.30	0.8696	0.9588	22	19
20	0.0039	0.20	0.9500	0.8955	19	18
20	0.0053	0.30	0.9524	0.8039	20	19
20	0.0047	0.30	0.9565	0.8189	22	21
20	0.0046	0.30	1.0000	0.7708	20	20
20	0.0124	0.40	0.9189	0.7762	36	33
20	0.0052	0.30	0.9167	0.7812	23	21
20	0.0054	0.30	0.9167	0.8063	23	21
20	0.0061	0.30	0.8462	0.7983	25	21
20	0.0093	0.40	0.7353	0.8068	33	24
20	0.0053	0.30	0.8750	0.8923	23	20
20	0.0055	0.30	0.8000	0.7921	24	19
20	0.0051	0.30	0.7692	0.7918	25	19
20	0.0047	0.30	0.9545	0.8195	21	20
20	0.0047	0.30	1.0000	0.8541	21	21
20	0.0039	0.20	0.8095	0.9396	20	16
20	0.0047	0.30	0.8636	0.9137	21	18
20	0.0025	0.20	0.8235	0.9120	16	13
20	0.0099	0.40	1.0000	0.7814	30	30
20	0.0041	0.20	0.9500	0.8883	19	18
20	0.0071	0.30	0.9630	0.8324	26	25
20	0.0052	0.30	0.7200	0.8579	24	17
20	0.0054	0.30	0.6538	0.8855	25	16
20	0.0093	0.40	0.5676	0.7601	36	20
20	0.0083	0.40	0.9310	0.7369	28	26
20	0.0049	0.30	0.7200	0.8816	24	17
20	0.0072	0.30	0.8571	0.8379	27	23
20	0.0072	0.30	0.7857	0.8664	27	21
20	0.0056	0.30	0.8000	0.8821	24	19
20	0.0064	0.30	0.8148	0.8631	26	21
20	0.0040	0.20	0.9474	0.8941	18	17
20	0.0070	0.30	0.9231	0.9068	25	23
20	0.0050	0.30	0.9130	0.8678	22	20
20	0.0054	0.30	0.9545	0.9639	21	20
20	0.0062	0.30	0.8462	0.8165	25	21
20	0.0059	0.30	0.9615	0.7169	25	24
20	0.0094	0.40	0.9655	0.8349	28	27
20	0.0028	0.20	0.8333	0.9221	17	14
20	0.0042	0.20	0.7391	0.8430	22	16
20	0.0038	0.20	0.8500	0.9053	19	16
20	0.0058	0.30	0.7037	0.8944	26	18
20	0.0054	0.30	0.7143	0.7241	27	19
20	0.0060	0.30	0.9565	0.9375	22	21
20	0.0059	0.30	0.8400	0.8692	24	20
20	0.0028	0.20	0.7368	0.9159	18	13
20	0.0030	0.20	0.9412	0.9705	16	15
20	0.0086	0.40	0.7419	0.8703	30	22
20	0.0042	0.30	0.8261	0.7527	22	18
20	0.0028	0.20	0.7895	0.8305	18	14
20	0.0050	0.30	0.7826	0.9055	22	17
20	0.0080	0.40	0.8750	0.7052	31	27
20	0.0066	0.30	0.7000	0.8236	29	20
20	0.0027	0.20	0.8947	0.7427	18	16
20	0.0065	0.30	0.9200	0.8842	24	22
20	0.0034	0.20	0.7619	0.8254	20	15
20	0.0045	0.30	1.0000	0.7364	21	21
20	0.0047	0.30	0.7083	0.8994	23	16
20	0.0053	0.30	0.7600	0.8359	24	18
20	0.0075	0.30	0.7667	0.8389	29	22
20	0.0096	0.40	0.9032	0.8203	30	27
20	0.0031	0.20	0.7000	0.8910	19	13
20	0.0039	0.20	1.0000	0.9079	18	18
20	0.0052	0.30	1.0000	0.8765	21	21
20	0.0046	0.30	0.7083	0.9174	23	16
20	0.0086	0.40	0.6857	0.7489	34	23
20	0.0041	0.20	0.9500	0.9141	19	18
20	0.0043	0.20	0.9500	0.9170	19	18
20	0.0050	0.30	1.0000	0.7352	23	23
20	0.0058	0.30	0.9167	0.8677	23	21
20	0.0047	0.30	0.8400	0.7657	24	20
20	0.0046	0.30	0.9130	0.7971	22	20
20	0.0043	0.30	0.9500	0.8516	19	18
20	0.0056	0.30	0.8800	0.7628	24	21
20	0.0049	0.30	1.0000	0.8813	21	21
20	0.0045	0.30	0.8333	0.7959	23	19
20	0.0070	0.30	0.8077	0.8631	25	20
20	0.0058	0.30	0.6207	0.7831	28	17
20	0.0051	0.30	1.0000	0.7411	22	22
20	0.0041	0.30	0.7826	0.7573	22	17
20	0.0065	0.30	0.8462	0.8868	25	21
20	0.0039	0.30	0.7391	0.7651	22	16
20	0.0069	0.30	0.9231	0.8664	25	23
20	0.0040	0.20	0.8095	0.8986	20	16
20	0.0058	0.30	0.8800	0.8614	24	21
20	0.0029	0.20	0.8333	0.9590	17	14
20	0.0035	0.20	0.8500	0.9343	19	16
20	0.0018	0.20	0.9286	0.9840	13	12
20	0.0052	0.30	0.9091	0.9141	21	19
20	0.0070	0.30	0.7188	0.7180	31	22
20	0.0023	0.20	1.0000	0.9996	14	14
20	0.0034	0.20	0.7500	0.8334	19	14
20	0.0052	0.30	0.9565	0.9099	22	21
20	0.0054	0.30	0.9130	0.8095	22	20
20	0.0038	0.20	0.9474	0.9558	18	17
20	0.0039	0.20	0.9048	0.8082	20	18
20	0.0024	0.20	0.8750	0.8983	15	13
20	0.0059	0.30	0.8400	0.9086	24	20
20	0.0049	0.30	0.7500	0.8988	23	17
20	0.0052	0.30	0.7692	0.8179	25	19
20	0.0031	0.20	0.8095	0.8171	20	16
20	0.0061	0.30	0.6452	0.6764	30	19
20	0.0041	0.20	0.9500	0.9266	19	18
20	0.0073	0.30	0.6774	0.8444	30	20
20	0.0075	0.30	0.8000	0.8615	29	23
20	0.0048	0.30	0.7500	0.8818	23	17
20	0.0052	0.30	0.7917	0.9177	23	18
20	0.0029	0.20	0.9412	0.9651	16	15
20	0.0060	0.30	0.9565	0.8688	22	21
20	0.0038	0.20	0.9048	0.8481	20	18
20	0.0043	0.20	0.9524	0.8938	20	19
20	0.0080	0.40	0.9000	0.7678	29	26
20	0.0024	0.20	0.8750	0.9657	15	13
20	0.0064	0.30	0.9615	0.8539	25	24
20	0.0064	0.30	1.0000	0.8640	22	22
20	0.0030	0.20	0.8889	0.9020	17	15
20	0.0038	0.20	0.8947	0.9271	18	16
20	0.0039	0.20	0.9474	0.9275	18	17
20	0.0038	0.20	1.0000	0.9261	18	18
20	0.0032	0.20	0.9474	0.8598	18	17
20	0.0033	0.20	0.9444	0.9692	17	16
20	0.0056	0.30	0.9130	0.9078	22	20
20	0.0046	0.20	0.9524	0.9286	20	19
20	0.0033	0.20	1.0000	0.9366	17	17
20	0.0031	0.20	1.0000	0.9653	16	16
20	0.0050	0.30	0.6923	0.8210	25	17
20	0.0037	0.20	0.8095	0.8327	20	16
20	0.0074	0.30	0.6563	0.7686	31	20
20	0.0054	0.30	0.8333	0.9043	23	19
20	0.0068	0.40	0.7813	0.6209	31	24
20	0.0053	0.30	0.8000	0.8473	24	19
20	0.0043	0.20	0.9524	0.8976	20	19
20	0.0052	0.30	0.9583	0.8061	23	22
20	0.0049	0.30	0.7500	0.8330	23	17
20	0.0053	0.30	0.7600	0.8758	24	18
20	0.0063	0.30	0.9231	0.8335	25	23
20	0.0074	0.30	0.7931	0.8729	28	22
20	0.0040	0.20	0.7391	0.8489	22	16
20	0.0041	0.20	0.9500	0.9467	19	18
20	0.0034	0.20	0.9000	0.8651	19	17
20	0.0035	0.20	0.9474	0.9129	18	17
20	0.0032	0.20	0.7000	0.8663	19	13
20	0.0055	0.30	0.8750	0.8404	23	20
20	0.0078	0.40	0.7500	0.7588	31	23
20	0.0043	0.30	0.9545	0.7889	21	20
20	0.0035	0.20	0.7273	0.8596	21	15
20	0.0046	0.30	0.9091	0.8575	21	19
20	0.0043	0.30	0.8571	0.7988	20	17
20	0.0038	0.20	0.9500	0.8785	19	18
20	0.0036	0.20	0.9444	0.9504	17	16
20	0.0031	0.20	0.9444	0.8717	17	16
20	0.0074	0.30	0.7931	0.8358	28	22
20	0.0058	0.30	0.6429	0.8205	27	17
20	0.0066	0.30	0.7857	0.7064	27	21
20	0.0091	0.40	0.8235	0.6656	33	27
20	0.0029	0.20	0.7000	0.8794	19	13
20	0.0054	0.30	0.9565	0.8530	22	21
20	0.0030	0.20	1.0000	0.9421	16	16
20	0.0049	0.30	1.0000	0.9688	19	19
20	0.0049	0.30	0.8333	0.8176	23	19
20	0.0044	0.30	0.8261	0.8523	22	18
20	0.0036	0.20	0.9000	0.8443	19	17
20	0.0097	0.40	0.5500	0.6324	39	21
20	0.0031	0.20	0.8421	0.8875	18	15
20	0.0030	0.20	0.8889	0.9485	17	15
20	0.0039	0.20	0.9500	0.8955	19	18
20	0.0052	0.30	0.8400	0.7568	24	20
20	0.0036	0.20	1.0000	0.9391	17	17
20	0.0045	0.30	0.9130	0.8078	22	20
20	0.0046	0.30	0.9091	0.8955	21	19
20	0.0070	0.30	0.9600	0.8237	24	23
20	0.0045	0.30	0.8696	0.7394	22	19
20	0.0031	0.20	0.7500	0.8769	19	14
20	0.0041	0.20	0.8571	0.9141	20	17
20	0.0047	0.30	0.8750	0.8575	23	20
20	0.0077	0.30	0.7667	0.8446	29	22
20	0.0053	0.30	0.8696	0.8732	22	19
20	0.0038	0.20	0.9000	0.9378	19	17
20	0.0040	0.20	0.8095	0.9411	20	16
20	0.0041	0.20	0.7727	0.9183	21	16
20	0.0035	0.20	0.8500	0.9065	19	16
20	0.0052	0.30	0.8696	0.9210	22	19
20	0.0038	0.20	0.9048	0.7711	20	18
