## Dados de responsabilidade de Grasiela Bruzamarello Tognon
## (http://lattes.cnpq.br/2911532137112895), acadêmica de pós graduação
## em produção vegetal, UFPR.
##
## O experimento avaliou o efeito de soluções (trat) para ?conservação
## das estacas e foi repetido nas 4 estações do ano (est).
## 
## As respostas avaliadas foram medidas de características de coloração
## das estacas (L, a, b, E), o peso e a classificação quanto à
## viabilidade comercial (nota de 1 à 3). Foram consideradas 10 estacas
## (unidades experimentais, UE) para cada nível solução em cada
## estação. O registro das respostas foi feito ao longo do tempo (dias,
## medidas repetidas nas memas UE)
## 
## trat = {
##   1: Controle,
##   2: Ácido citrico (100 ml^{-1}),
##   3: Metabissulfito de sódio (10 mM),
##   4: Ácido cítrico + Sacarose (4%),
##   5: Metabissulfito de sódio + Sacarose (4%)
## }
## 
## L: define a luminosidade (L = 0: preto e L = 100: branco).
## 
## a e b: associam-se a cromaticidade, (“+a”, vermelho, “-a”, verde e
## “+b”, amarelo, “-b”, azul).
## 
## E: delta E, coloração como um todo.
## 
## peso: hastes pesadas em cada dia de avaliação por meio de balança
## analítica de precisão (gramas).
## 
## escala: escala de classificação de viabilidade:  
## 1) Cladódios verdes brilhantes sem manchas escuras (oxidação) ao
##    longo da haste. Hastes túrgidas. VIÁVEIS.
## 2) Cladódios verdes brilhantes com manchas escuras (oxidação) somente
##    na porção basal da haste. Hastes túrgidas e sem danos. VIÁVEIS.
## 3) Cladódios apresentando manchas escuras (oxidação) na porção
##    mediana e/ou apical da haste. Hastes secas (com aspecto
##    quebradiço). DESCARTE.
##
est	dias	trat	rept	L	a	b	AE	peso	escala
outono	3	5	10	35.77	-9.60	14.68	22.71	32.72	2
outono	5	1	1	36.24	-5.86	10.29	18.16	41.29	2
outono	5	1	2	39.53	-8.24	13.46	23.30	16.23	2
outono	5	1	3	42.11	-8.53	14.52	25.75	17.65	2
outono	5	1	4	40.71	-8.43	14.21	24.61	17.08	1
outono	5	1	5	39.06	-8.30	14.44	23.70	14.76	2
outono	5	1	6	43.17	-10.12	18.60	29.77	23.83	2
outono	5	1	7	36.40	-9.25	14.85	23.00	14.84	1
outono	5	1	8	43.36	-9.80	16.54	28.37	31.27	1
outono	5	1	9	43.64	-9.42	17.32	28.92	20.76	2
outono	5	1	10	37.41	-8.62	14.53	22.99	15.61	2
outono	5	2	1	39.56	-9.63	16.46	25.98	23.44	2
outono	5	2	2	38.76	-9.92	14.31	23.72	16.26	1
outono	5	2	3	35.47	-7.36	13.08	20.37	14.48	2
outono	5	2	4	33.47	-5.63	11.41	17.37	20.30	2
outono	5	2	5	38.65	-8.12	12.68	22.20	28.41	2
outono	5	2	6	41.59	-9.10	15.55	26.32	33.13	2
outono	5	2	7	30.30	-6.78	8.82	14.65	11.56	2
outono	5	2	8	32.81	-7.36	11.15	17.68	26.22	2
outono	5	2	9	42.03	-9.17	16.17	27.04	26.20	1
outono	5	2	10	35.36	-6.54	9.73	17.56	17.93	1
outono	5	3	1	41.62	-9.61	15.54	26.55	12.08	2
outono	5	3	2	36.19	9.12	13.07	21.56	31.51	2
outono	5	3	3	40.94	-8.71	13.48	24.40	13.45	1
outono	5	3	4	37.02	-6.96	12.70	20.75	9.93	1
outono	5	3	5	35.51	-5.73	8.73	16.62	22.01	2
outono	5	3	6	42.62	-10.12	16.14	27.78	17.67	2
outono	5	3	7	37.79	-7.12	9.92	19.45	20.87	2
outono	5	3	8	38.17	-9.42	17.58	25.97	19.66	2
outono	5	3	9	36.32	-7.63	11.25	19.65	19.79	2
outono	5	3	10	36.52	-6.56	9.64	18.21	21.05	2
outono	5	4	1	38.44	-8.19	14.19	23.12	24.88	1
outono	5	4	2	39.92	-8.58	13.80	23.90	15.94	2
outono	5	4	3	37.57	-7.63	11.20	20.35	26.54	1
outono	5	4	4	36.91	-8.14	13.48	21.76	21.30	1
outono	5	4	5	40.06	-8.13	15.41	24.90	11.95	2
outono	5	4	6	39.85	-10.14	15.78	25.89	46.72	2
outono	5	4	7	43.65	-10.29	18.46	30.04	11.60	2
outono	5	4	8	43.11	-7.54	12.43	24.78	14.95	2
outono	5	4	9	40.92	-8.84	14.56	25.14	14.76	1
outono	5	4	10	39.91	-10.00	15.99	26.01	19.12	1
outono	5	5	1	43.57	-8.57	15.15	27.15	27.26	2
outono	5	5	2	45.72	-13.73	26.07	38.03	14.34	1
outono	5	5	3	37.25	-8.54	12.22	21.27	20.93	2
outono	5	5	4	41.87	-8.60	14.40	25.55	27.87	1
outono	5	5	5	40.97	-9.86	16.81	27.12	15.77	2
outono	5	5	6	36.91	-8.68	13.58	22.08	11.24	1
outono	5	5	7	40.03	-6.88	13.73	23.24	15.85	1
outono	5	5	8	37.75	-8.74	14.21	23.00	41.28	2
outono	5	5	9	41.40	-10.28	17.28	27.88	17.27	2
outono	5	5	10	36.80	-10.93	16.52	25.23	32.78	2
outono	7	1	1	36.45	-7.00	12.84	20.54	40.84	2
outono	7	1	2	36.99	-11.25	16.74	25.64	15.85	2
outono	7	1	3	45.64	-9.73	19.00	31.45	17.37	2
outono	7	1	4	42.72	-8.87	17.87	28.51	16.71	2
outono	7	1	5	38.52	-7.65	12.23	21.61	14.57	2
outono	7	1	6	36.04	-8.91	15.47	23.13	23.30	2
outono	7	1	7	38.69	-9.38	16.70	25.58	14.37	2
outono	7	1	8	41.98	-10.73	19.58	30.02	27.87	2
outono	7	1	9	41.35	-8.18	13.91	24.73	20.91	2
outono	7	1	10	40.59	-8.54	14.32	24.65	15.66	2
outono	7	2	1	43.35	-10.00	17.71	29.23	23.23	2
outono	7	2	2	39.58	-9.64	15.30	25.18	15.81	2
outono	7	2	3	31.20	-7.24	11.44	17.21	14.04	1
outono	7	2	4	26.35	-5.87	10.79	14.89	19.14	2
outono	7	2	5	36.01	-7.60	11.76	19.81	27.86	2
outono	7	2	6	40.87	-8.89	15.42	25.70	32.58	2
outono	7	2	7	34.56	-8.80	12.61	20.28	11.45	2
outono	7	2	8	35.65	-8.37	11.90	20.09	25.69	2
outono	7	2	9	36.28	-8.77	14.26	22.28	25.76	2
outono	7	2	10	34.59	-60.04	9.05	16.45	17.55	2
outono	7	3	1	40.27	-8.00	15.15	24.70	11.86	2
outono	7	3	2	34.58	-8.86	13.30	20.82	30.92	2
outono	7	3	3	38.23	-8.34	13.14	22.35	13.29	2
outono	7	3	4	33.12	-7.41	13.51	19.64	9.83	2
outono	7	3	5	36.58	-7.71	12.42	20.63	21.50	2
outono	7	3	6	40.37	-10.25	17.96	27.77	17.33	2
outono	7	3	7	37.87	-6.82	9.56	19.15	20.13	2
outono	7	3	8	39.15	-8.95	15.16	24.55	19.14	2
outono	7	3	9	37.29	-7.53	10.98	19.99	19.46	3
outono	7	3	10	31.85	-5.71	8.03	14.13	20.51	3
outono	7	4	1	37.00	-8.16	13.04	21.50	24.27	1
outono	7	4	2	35.82	-9.00	13.77	21.81	15.62	2
outono	7	4	3	37.02	-10.55	16.44	25.09	26.08	2
outono	7	4	4	35.96	-8.46	13.87	21.70	20.75	2
outono	7	4	5	37.96	-7.84	14.41	22.87	11.59	2
outono	7	4	6	41.66	-10.54	17.53	28.32	45.51	2
outono	7	4	7	41.05	-12.25	21.13	31.31	11.49	2
outono	7	4	8	38.38	-6.85	10.52	20.09	14.48	2
outono	7	4	9	42.82	-9.37	15.28	27.04	14.60	1
outono	7	4	10	43.86	-9.78	16.99	28.98	18.58	2
outono	7	5	1	35.41	-7.65	13.03	20.42	26.64	2
outono	7	5	2	45.19	-10.73	19.16	31.64	14.16	2
outono	7	5	3	36.16	-8.15	11.95	20.28	20.41	2
outono	7	5	4	41.19	-7.56	12.50	23.48	28.01	2
outono	7	5	5	37.86	-8.79	13.86	22.84	15.06	2
outono	7	5	6	29.74	-6.59	9.97	15.25	11.00	1
outono	7	5	7	42.20	-7.42	11.33	23.45	15.57	2
outono	7	5	8	35.95	-8.30	14.15	21.82	41.09	2
outono	7	5	9	40.28	-9.96	16.45	26.52	16.74	2
outono	7	5	10	34.60	-7.74	12.11	19.39	32.93	2
outono	9	1	1	38.03	-5.96	10.41	19.42	38.85	3
