preco	area	nquart	nbanh	nvaga	nsuit	bairro
332000	41.92	1	1	NA	NA	Batel
1100000	220.41	4	4	3	2	Batel
722000	76.02	2	2	2	1	Batel
2611340	233	3	5	3	3	Batel
1700000	401	3	4	4	1	Batel
526000	59.69	2	1	1	NA	Batel
776880	76.43	2	2	2	1	Batel
597000	132.45	4	2	1	1	Batel
670000	159	3	4	2	1	Batel
990000	239.21	4	NA	NA	3	Batel
1050000	211.5	4	NA	3	2	Batel
5423660	398	4	3	4	4	Batel
300000	55.8	1	NA	1	NA	Batel
310000	65	2	2	1	1	Batel
750000	180	4	4	2	1	Batel
850000	312	3	4	2	1	Batel
529000	65.09	2	NA	1	NA	Batel
1050000	179.1	3	NA	NA	2	Batel
1350000	266.5	4	1	2	NA	Batel
980000	255.2	3	NA	2	NA	Batel
195000	45	1	1	NA	NA	Batel
494699	73	2	2	1	1	Batel
830000	228	4	NA	2	NA	Batel
820000	181.9	4	NA	NA	NA	Batel
1600000	286	4	1	3	2	Batel
1900000	451.3	5	NA	4	NA	Batel
450000	98.2	3	NA	1	NA	Batel
780000	132	3	1	2	1	Batel
3600000	351.7	4	NA	2	NA	Batel
1800000	200	2	NA	2	NA	Batel
840000	178	4	4	2	2	Batel
1500000	474	3	NA	3	NA	Batel
1200000	274.4	4	NA	2	NA	Batel
435000	70	2	1	1	1	Batel
470000	158	3	NA	1	1	Batel
721020	76.43	2	2	1	1	Batel
597000	132	4	1	1	1	Batel
900000	179.05	3	5	2	1	Batel
538000	65.09	2	NA	1	NA	Batel
409000	41.93	1	NA	1	NA	Batel
750000	180	3	4	1	1	Batel
990000	133	3	5	3	3	Batel
595000	107	3	2	1	1	Batel
600000	130	3	3	2	1	Batel
221000	30	1	1	1	NA	Batel
650000	118	2	3	2	1	Batel
1200000	220	4	5	2	3	Batel
750000	147	4	NA	4	1	Batel
1250000	242	4	5	3	2	Batel
1500000	NA	4	NA	2	NA	Batel
800000	142	4	NA	2	1	Batel
650000	158	4	NA	2	1	Batel
950000	167.11	3	NA	2	2	Batel
927654	126	3	1	2	1	Batel
480000	117	3	2	1	1	Batel
3730000	409	3	7	4	3	Batel
646600	90	3	2	2	1	Batel
900000	179.05	3	5	2	1	Batel
790000	142.14	4	3	2	1	Batel
1500000	261	4	1	3	4	Batel
1050000	179.1	3	NA	NA	2	Batel
1022000	107.93	3	NA	2	1	Batel
380110	35	1	1	1	NA	Batel
850000	190.59	4	NA	2	NA	Batel
1300000	210	4	1	2	3	Batel
2711780	235	3	NA	3	3	Batel
183000	34	1	1	NA	NA	Batel
2295000	380	4	NA	4	4	Batel
1300000	198	4	3	2	1	Batel
1200000	NA	4	NA	3	NA	Batel
3800000	355	4	NA	4	NA	Batel
1000000	162	3	3	NA	3	Batel
1200000	NA	4	NA	2	NA	Batel
480000	135	3	NA	1	NA	Batel
1099000	134	3	4	3	3	Batel
2150000	277.9	3	NA	4	3	Batel
600000	107	3	3	2	1	Batel
1080000	171	3	3	3	1	Batel
435000	70	2	2	1	1	Batel
650000	168	3	3	2	1	Batel
1500000	148.4	2	1	1	NA	Batel
795000	134	3	2	2	1	Batel
539900	65	1	2	1	1	Batel
579900	65	2	2	1	2	Batel
352000	NA	2	2	1	NA	Batel
650000	108	3	2	2	1	Batel
2845060	308.64	4	5	4	4	Batel
450000	169	3	1	1	1	Batel
299900	56	2	1	1	NA	Batel
670000	113	NA	NA	NA	NA	Batel
1180000	NA	3	2	3	1	Batel
550000	NA	2	NA	2	NA	Batel
450000	93	3	2	1	1	Batel
5423660	398	4	NA	4	4	Batel
895000	179	4	1	2	2	Batel
600000	106	3	3	2	1	Batel
990000	215	4	5	3	2	Batel
820000	71.03	2	NA	2	1	Batel
650000	162	4	4	1	1	Batel
1100000	133.57	3	NA	3	NA	Batel
539000	94	3	2	2	1	Batel
2090000	235	4	1	4	2	Batel
950000	169.15	3	5	2	3	Batel
995000	164	3	3	2	1	Batel
670000	140	4	2	2	1	Batel
1099900	117	1	2	1	1	Batel
750000	NA	2	NA	NA	NA	Batel
650000	107	3	NA	2	1	Batel
495000	122	3	1	1	1	Batel
1250000	162	4	4	2	1	Batel
1980000	321	3	4	4	3	Batel
750	145	3	5	2	3	Batel
460000	92	2	3	1	2	Batel
1228900	140	3	2	2	1	Batel
590340	72	2	2	1	1	Batel
720000	156	4	4	2	1	Batel
1270000	262	3	3	3	3	Batel
347000	50	1	NA	1	NA	Batel
3150000	488.11	NA	NA	4	3	Batel
1160000	252	4	NA	3	2	Batel
199500	29.87	1	NA	NA	NA	Batel
845000	240	3	NA	3	NA	Batel
740000	203.1	2	NA	2	NA	Batel
320000	NA	3	2	1	NA	Batel
1480000	331	4	1	3	2	Batel
906381	222	2	NA	2	1	Batel
1150000	170	4	1	3	2	Batel
3600000	274.93	3	NA	3	NA	Batel
530000	91	3	NA	1	1	Batel
760000	142.1	4	NA	2	NA	Batel
950000	390	4	NA	3	NA	Batel
475000	117	3	3	1	1	Batel
2800000	474.5	5	NA	NA	NA	Batel
490000	97.83	3	2	1	1	Batel
485000	120	3	2	1	1	Batel
630000	93	3	2	2	1	Batel
1484000	273.86	4	NA	3	2	Batel
321160	55	2	2	1	1	Batel
750000	109	2	2	1	2	Batel
1585000	297	4	NA	3	4	Batel
510000	134	3	4	1	1	Batel
433045	55.7	2	NA	2	NA	Batel
375000	NA	1	NA	1	NA	Batel
395000	65	1	NA	1	NA	Batel
850000	239	4	4	2	2	Batel
598000	124	2	3	2	1	Batel
3900000	520.99	4	NA	5	NA	Batel
2829350	NA	4	5	4	4	Batel
325000	66	3	3	1	1	Batel
1300000	121	2	NA	2	2	Batel
525000	60	2	NA	1	NA	Batel
485000	75	2	2	1	1	Batel
1079000	108	2	NA	2	1	Batel
2600000	233	3	NA	3	3	Batel
630000	102	3	2	2	1	Batel
356292	55.7	2	NA	1	NA	Batel
920000	NA	4	NA	3	NA	Batel
1320000	NA	4	NA	NA	NA	Batel
381330	55.7	2	NA	1	NA	Batel
667000	76	2	NA	1	NA	Batel
572000	65	2	NA	1	NA	Batel
2599900	233	3	4	3	3	Batel
2690900	233	3	NA	NA	3	Batel
650000	NA	3	NA	1	1	Batel
400000	80.92	3	NA	1	1	Batel
2611340	233	3	NA	3	3	Batel
5423660	398	4	NA	4	4	Batel
1338750	181	4	3	4	2	Batel
1179290	133	4	4	3	2	Batel
650000	161	3	4	3	1	Batel
720000	115	3	3	2	1	Batel
215000	42	1	NA	NA	NA	Batel
2599900	233	3	4	3	3	Batel
526000	60	2	NA	1	NA	Batel
573000	65	2	NA	1	NA	Batel
650000	128	3	3	1	1	Batel
1099000	108	2	NA	2	1	Batel
2711780	235	3	NA	3	3	Batel
990000	215	4	2	3	2	Batel
668000	76	2	NA	1	NA	Batel
530000	119	3	2	1	1	Batel
570000	155	4	3	1	1	Batel
860000	154	3	4	2	2	Batel
1900000	565.7	4	NA	4	4	Batel
540000	139	3	2	1	1	Batel
810775	NA	3	NA	2	1	Batel
492450	56027	1	1	NA	NA	Batel
1050000	202	4	1	2	2	Batel
1284000	272	4	5	2	2	Batel
470000	88	2	2	1	1	Batel
2040000	264.7	3	NA	3	3	Batel
408870	41.93	1	NA	1	NA	Batel
630000	NA	3	NA	2	NA	Batel
3880000	488	3	2	4	3	Batel
597500	132	4	5	1	1	Batel
1300000	227	3	3	2	NA	Batel
1250000	250	4	3	2	2	Batel
540000	102	3	NA	1	1	Batel
368000	82.42	2	2	1	1	Batel
990000	211	4	3	3	2	Batel
600000	93.13	2	NA	2	1	Batel
650000	120	3	2	2	1	Batel
1100000	229	4	5	2	2	Batel
1400000	286.53	4	NA	3	NA	Batel
950000	220	4	3	2	3	Batel
1000000	295.91	3	4	3	3	Batel
280000	37.21	1	NA	NA	NA	Batel
700000	105	1	2	2	1	Batel
491000	37	1	NA	1	1	Batel
1100000	266	4	NA	4	2	Batel
1180000	250	4	NA	3	3	Batel
530000	114	2	2	2	1	Batel
890000	177.41	3	NA	3	NA	Batel
1300000	197	3	4	2	3	Batel
690000	145	4	3	1	1	Batel
1400000	350	3	3	4	1	Batel
1125000	184.47	3	NA	2	1	Batel
507098	45	2	2	1	2	Batel
1950000	327	4	NA	3	4	Batel
2649900	315	3	NA	3	3	Batel
220000	43.26	1	1	NA	NA	Batel
1900000	224	4	3	3	3	Batel
550000	154	3	NA	1	1	Batel
1500000	350	4	3	3	2	Batel
1200000	288	4	4	3	2	Batel
507098	45	1	1	1	NA	Batel
616000	125	3	3	2	1	Batel
1500000	350	4	4	3	2	Batel
307851	55	2	1	NA	NA	Batel
695000	186	3	1	NA	1	Batel
1000000	177	3	4	2	3	Batel
547674	65	1	2	1	1	Batel
310752	55	2	1	1	NA	Batel
385000	66	3	2	1	1	Batel
1900000	425	4	1	4	2	Batel
2100000	261	4	NA	4	3	Batel
820000	145	3	1	1	NA	Batel
312901	50	2	1	1	NA	Batel
917700	NA	3	4	3	3	Batel
780000	168	3	2	2	1	Batel
510000	123	3	1	NA	1	Batel
480000	98	3	1	1	1	Batel
1115738	117	1	2	2	1	Batel
650000	160	3	NA	2	1	Batel
780986	82	2	2	NA	2	Batel
1400000	182	3	3	2	3	Batel
900000	337	4	3	2	1	Batel
1500000	228	4	4	2	2	Batel
540000	90	2	3	1	2	Batel
768000	158	4	3	2	1	Batel
563800	45	1	1	1	1	Batel
608538	65	1	NA	1	1	Batel
998000	150	3	NA	2	1	Batel
345000	138	3	1	NA	1	Batel
507098	45	1	NA	1	NA	Batel
1800000	280	4	5	3	2	Batel
316185	41.93	1	NA	NA	NA	Batel
2100000	208	3	5	3	3	Batel
998000	150	3	NA	2	1	Batel
345000	138	3	1	NA	1	Batel
507098	45	1	NA	1	NA	Batel
851944	82	2	NA	1	2	Batel
3490000	450	4	NA	5	4	Batel
780986	82	2	NA	1	2	Batel
588250	65	1	NA	1	1	Batel
2090000	248	4	3	4	2	Batel
872282	82	2	NA	2	2	Batel
650000	107	3	2	2	1	Batel
537530	45	1	NA	1	NA	Batel
2150000	208	3	4	3	3	Batel
1790000	433	5	6	4	3	Batel
1100000	253	4	5	2	2	Batel
5423000	398	4	7	4	4	Batel
630000	149	3	3	1	1	Batel
650000	NA	3	NA	2	1	Batel
2612000	233	3	5	3	3	Batel
2650000	540	5	7	5	4	Batel
1200000	485	4	NA	4	4	Batel
890000	286	4	4	2	1	Batel
3950000	497	3	5	5	3	Batel
780000	162	4	1	2	1	Batel
850000	132	3	3	2	1	Batel
230000	48	1	1	NA	NA	Batel
2495000	422	4	6	5	4	Batel
980000	220	4	4	3	2	Batel
1409930	181	4	1	3	2	Batel
780000	204.82	4	2	2	1	Batel
305970	34.65	1	1	NA	NA	Batel
540000	135	3	4	2	1	Batel
1950000	249	4	2	4	2	Batel
226500	48	1	1	1	NA	Batel
500000	69	2	2	1	1	Batel
690000	140	3	4	2	1	Batel
650000	125	3	3	1	1	Batel
340000	38	1	1	1	NA	Batel
1250000	271	4	3	3	2	Batel
980000	185	3	2	4	1	Batel
1500000	482	5	4	3	2	Batel
1000000	NA	4	NA	2	NA	Batel
1700000	316	3	4	2	2	Batel
2800000	413	4	6	5	4	Batel
1750000	345	3	3	4	1	Batel
2420000	241	4	1	4	3	Batel
1090000	227	4	1	3	2	Batel
1100000	196.7	4	1	2	NA	Batel
945000	238	4	1	2	1	Batel
910000	222	2	1	2	1	Batel
2150000	391	3	NA	3	3	Batel
990013	119	2	1	1	2	Batel
980000	239	4	2	2	2	Batel
650000	108	3	NA	NA	1	Batel
595000	154	3	1	1	1	Batel
470000	100	3	3	2	1	Batel
1500000	328	4	NA	3	2	Batel
2000000	453	4	NA	2	NA	Batel
470000	125	3	NA	1	NA	Batel
3600000	617	4	6	5	4	Batel
599000	100	3	2	1	1	Batel
650000	NA	4	NA	2	NA	Batel
900000	266	4	NA	NA	NA	Batel
750000	142	4	2	2	1	Batel
180000	44.11	1	NA	NA	NA	Batel
1100000	220	4	4	3	4	Batel
1550000	366	4	6	4	4	Batel
990000	220	4	5	2	2	Batel
