## Dados de experimento feito por Alexandre Martins Abdão dos Passos
## (http://lattes.cnpq.br/3663394160618071).
##
## O experimento combinou fonte de fertilizante orgânico (fonte, CF=cama
## de framgo, EC=esterco de curral e PC=pó de carvão) nas doses 0, 3, 6,
## e 9 ton/ha e tendo ainda o complemento de 0, 100, 200, 300 e 400
## kg/ha de dose de fertilizante químico (NPK). O delineamento foi de
## blocos casualizados com arranjo de tratamentos em parcela
## subsubdividida. Na parcela a fonte, na subparcela a dose e
## subsubparcela o npk. As respostas avaliadas foram tanto de solo
## quanto de planta, conforme legenda:
##
## AF: área foliar;
## N: nitrogênio;
## P: fósforo;
## K: potássio;
## Ca: cálcio;
## Mg: magnésio;
## S: enxofre;
## B: boro;
## Cu: cobre;
## Mn: manganês;
## Zn: zinco;
## Fe: ferro;
## ACA: nota visual para acamamento, ordinal em escala de 5 níveis (nenhum=1,2,3,4,5=muito);
## prod: produtividade;
## Apta: altura de plantas (cm);
## Ains: altura de inserção do primeiro legume (cm);
## Nleg: número médio de legumes por planta;
## Ngrao: número médio de grãos por legume;
## PCS: peso de 100 sementes;
## 
fonte	dorg	dnpk	bloco	AF	N	P	K	Ca	Mg	S	B	Cu	Mn	ZN	Fe	ACA	prod	Apta	Ains	Nleg	Ngrao	PCS
CF	6	300	1	67.8133	4.61	0.30	1.20	1.60	0.40	0.30	52.70	7.00	57.20	35.00	105.50	3	2991.52	88.8	29.8	30.90	2.20	15.74
CF	6	300	2	69.5101	5.03	0.33	1.57	1.40	0.41	0.26	50.40	9.00	50.10	42.30	126.20	3	3716.31	85.8	29.4	34.70	2.13	15.76
CF	6	400	3	95.9721	4.92	0.21	1.56	1.14	0.34	0.24	40.11	8.09	51.40	23.13	96.39	2	5953.77	84.8	26.2	59.20	2.30	16.22
CF	6	400	2	120.8537	5.22	0.33	1.60	1.68	0.44	0.28	52.50	8.30	52.10	45.50	124.10	3	4359.27	86.0	31.8	50.70	2.09	15.66
CF	6	400	1	75.1743	4.61	0.20	1.30	1.30	0.30	0.20	46.30	6.90	54.80	28.20	97.00	2	4314.18	87.6	28.0	35.90	1.91	15.71
CF	9	0	3	51.0541	5.04	0.21	1.47	1.30	0.34	0.28	47.34	9.22	51.65	25.73	107.88	3	5774.28	91.8	28.4	70.70	2.08	17.13
CF	9	0	1	25.9841	4.87	0.30	1.30	1.50	0.40	0.30	58.10	6.20	91.50	41.80	108.80	3	3176.22	95.8	27.8	38.20	2.24	15.59
CF	9	0	2	89.9650	5.21	0.31	1.71	1.42	0.38	0.26	48.60	9.40	57.00	38.00	116.50	2	4162.80	91.0	32.8	27.90	2.14	17.29
CF	9	100	3	191.0231	4.65	0.21	1.57	1.14	0.34	0.26	39.79	8.16	50.85	23.14	97.01	4	5086.55	87.2	23.8	46.40	1.97	16.74
CF	9	100	2	119.5717	4.80	0.31	1.62	1.58	0.41	0.27	44.20	9.10	59.70	33.30	113.20	2	3754.89	93.0	30.0	56.40	2.28	16.98
CF	9	100	1	39.1281	4.50	0.31	1.28	1.50	0.39	0.25	48.20	5.50	82.90	33.30	101.50	3	3600.57	86.2	25.8	28.40	2.16	15.57
