id;tam;quar;banh;valor
aviso-2928118783;61;2;1;380000
aviso-2927478750;113;3;3;460000
aviso-2922944705;149;3;2;950000
aviso-2927690620;86;3;2;580000
aviso-2927950695;134;3;3;595000
aviso-2926364864;189;3;4;850000
aviso-2927223735;104;3;2;526000
aviso-1002123196;123;3;3;930000
aviso-2927667147;64;1;2;389600
aviso-2926598430;220;4;5;2500000
aviso-2927892268;113;3;2;830000
aviso-2926396009;104;3;2;525000
aviso-920389061;102;2;3;480000
aviso-2927075537;143;4;4;788000
aviso-2925321849;108;3;2;638000
aviso-2925087696;113;3;2;632000
aviso-2927578165;76;3;2;343200
aviso-2927739484;64;2;2;363000
aviso-2927723274;43;2;1;240000
aviso-1002347927;149;3;1;9e+05
aviso-2926916653;182;3;5;9e+05
aviso-2928138337;113;3;4;590000
aviso-2925003482;113;3;3;693000
aviso-2927479407;69;2;2;387000
aviso-2928099255;85;3;2;379000
aviso-2927387397;143;3;3;1130000
aviso-1002266630;182;3;4;1300000
aviso-2927599966;143;4;4;800730
aviso-2926046768;73;2;1;340000
aviso-2926864295;77;3;2;550000
aviso-2923068920;95;3;3;580000
aviso-2928172383;74;2;1;325000
aviso-2925534449;95;3;1;540000
aviso-2926587321;66;2;2;490000
aviso-2927777116;73;2;2;343900
aviso-2923758313;91;3;1;375000
aviso-2925404325;113;3;2;650000
aviso-2927941622;171;4;3;850000
aviso-2925237161;76;3;2;343200
aviso-2927802193;83;3;2;574000
aviso-2925218903;32;1;1;2e+05
aviso-2924895334;78;3;2;498000
aviso-2926055775;71;3;1;2e+05
aviso-2922040830;44;1;1;230000
aviso-2928115707;171;4;3;890000
aviso-2927777122;73;2;2;343900
aviso-2928103746;50;1;1;240000
aviso-2924978084;182;4;5;879000
aviso-2927299305;49;1;1;306000
aviso-2923356718;94;3;2;360000
aviso-2925568272;45;1;1;175000
aviso-2926907580;143;3;3;849998
aviso-2927108369;64;1;2;338900
aviso-2927150336;113;3;3;587000
aviso-2926583696;143;3;2;833700
aviso-1002754342;50;2;1;3e+05
aviso-2928224299;113;3;2;587000
aviso-2928159971;72;2;2;430000
aviso-2926087210;76;3;2;360000
aviso-2922968805;104;3;1;491000
aviso-2927776716;73;2;2;343880
aviso-2922967734;62;2;2;270000
aviso-2927453537;143;3;5;799200
aviso-2922694117;155;4;2;950000
aviso-2927464191;170;3;2;1090000
aviso-2927108005;64;1;2;338900
aviso-2927983250;70;2;2;315000
aviso-2927123646;108;3;3;630000
aviso-2927252600;44;1;1;199000
aviso-2928137553;113;3;3;587000
aviso-2927503097;32;1;1;255000
aviso-2926475990;71;2;2;454000
aviso-2926691981;70;2;2;330000
aviso-2927020475;66;2;1;407000
aviso-2927793747;60;2;1;280000
aviso-2925936433;129;2;2;635000
aviso-2928099377;127;2;3;635000
aviso-2926278011;89;3;2;330000
aviso-2927453538;143;3;5;799200
aviso-2927150370;182;4;4;990000
aviso-2925712384;95;3;2;370000
aviso-2928099254;82;3;2;392000
aviso-2927150344;143;4;3;788000
aviso-2927185297;182;4;4;990000
aviso-2928160004;108;3;2;658000
aviso-2928097818;97;3;3;550000
aviso-2924637777;83;3;2;350000
aviso-2927518674;44;1;1;205000
aviso-2927986103;50;1;1;320000
aviso-2922968264;32;1;1;209902
aviso-2928127373;74;3;1;320000
aviso-2928233618;129;2;2;635000
aviso-2927138326;65;2;2;398000
aviso-2925532564;41;1;1;294900
aviso-2927020399;66;2;1;407000
aviso-2927322788;45;1;1;230000
aviso-2928099256;61;2;2;302000
aviso-2927137576;70;2;2;315000
aviso-2925688326;143;4;3;1150000
aviso-2926831222;33;1;1;373000
aviso-2926365359;30;1;1;2e+05
aviso-2928174512;67;3;1;275000
aviso-2924979212;182;4;5;914000
aviso-2926683150;144;4;4;727000
aviso-2927697763;84;3;2;574800
aviso-2927759078;113;3;3;830000
aviso-2927553842;92;3;2;410000
aviso-2926060688;33;1;1;185000
aviso-2927020427;66;2;1;407000
aviso-2924545937;64;3;2;355000
aviso-2926484095;113;3;4;638820
aviso-2926718729;70;2;2;330000
aviso-2927980453;78;3;2;630000
aviso-2927506900;40;2;1;220000
aviso-2928209784;99;3;2;525000
aviso-2927876869;87;3;2;320000
aviso-2927412128;139;3;2;450000
aviso-2925039715;113;3;4;830000
aviso-2927406587;52;2;2;295000
aviso-2928174548;160;3;3;1025700
aviso-2924454549;86;3;1;360000
aviso-2926916366;143;3;4;788000
aviso-2925532553;66;2;2;475900
aviso-2924532374;182;4;5;899000
aviso-2926825791;34;1;1;249000
aviso-2921031212;73;2;2;350625
aviso-2924979825;79;2;2;380000
aviso-2927450151;70;2;2;330000
aviso-2926169842;47;2;1;240000
aviso-2927757961;73;2;2;343900
aviso-2927412104;150;3;4;9e+05
aviso-2924532361;143;4;5;750000
aviso-2922222234;32;1;1;192100
aviso-2927029597;143;3;3;788000
aviso-2925763674;117;3;3;5e+05
aviso-2927739514;86;3;2;580000
aviso-2921890038;113;3;3;635000
aviso-2927467025;129;2;2;590000
aviso-2927352021;70;2;2;330000
aviso-2926716790;61;2;2;270000
aviso-2926681357;76;3;2;343200
aviso-2926684522;143;3;5;8e+05
aviso-2926691518;104;3;2;536000
aviso-2926655801;32;1;1;209902
aviso-2926649222;45;1;1;230000
aviso-2926627923;32;1;1;204000
aviso-2927322769;45;1;1;230000
aviso-2927326182;32;1;1;215000
aviso-2927105767;87;3;2;320000
aviso-2927107043;60;2;1;327000
aviso-2927107962;64;1;2;338900
