## Experimento conduzido por Fabio Raphael Pascoti Bruhn
## (http://lattes.cnpq.br/6027763770110766), acadêmico de Mestrado em
## Ciências Veterinárias  da UFLA (2010-2012).
##
## Os dados são da avaliação do ganho de peso de vacas da raça holandesa
## holandesa dividas em grupos para cada um dos 5 tratamentos de endo e
## exo parasitas. O experimento foi repetido 3 vezes, sendo 2 nas
## estações de seca e 1 uma na estação das chuvas. As vacas avaliadas
## não são as mesmas quando muda a estação. Elas pesadas em intervalos
## aproximados de 30 dias após o início da estação.  Os tratamentos
## foram: ivermectina 1% (genérico) (T1); sulfóxido de albendazol 10%
## (T2); abamectina 1% (T3); doramectina 1% (T4) e ivermectina 1%
## (referência) (T5). Os diferentes tratamentos foram escolhidos por
## serem comumente aplicados por pecuaristas na região. Quanto às
## ivermectinas (uma "genérica" e outra "referência"), optou-se por
## duas, por possuírem preços de mercado completamente diferentes
## (R$0,062 e R$0,292/mL, respectivamente). Aplicou-se 1 mL do produto
## para cada 50 kg de peso vivo, para todos os tratamentos, exceto no
## tratamento 2, que foi 1 mL para cada 40 kg de peso vivo. Ocorreram
## duas aplicações dos medicamentos durante o período experimental,
## sendo uma no primeiro dia e a outra 90 dias após. Dentro de cada
## estação trata-se de um experimento inteiramente casualizado com
## unidades experimentais (vacas) avaliadas ao longo do tempo
## (longitudinal/medidas repetidas).
##
vaca	peso	helmintico	mes	dias	estacao
683	232.8	sulfóxido de albendazol 10%	3	145	chuva
682	260	sulfóxido de albendazol 10%	3	145	chuva
657	352	sulfóxido de albendazol 10%	5	198	chuva
662	382	sulfóxido de albendazol 10%	5	198	chuva
671	283	sulfóxido de albendazol 10%	5	198	chuva
680	251	sulfóxido de albendazol 10%	5	198	chuva
687	301	sulfóxido de albendazol 10%	5	198	chuva
683	265.2	sulfóxido de albendazol 10%	5	198	chuva
682	290.6	sulfóxido de albendazol 10%	5	198	chuva
657	354.6	sulfóxido de albendazol 10%	6	227	chuva
662	368.6	sulfóxido de albendazol 10%	6	227	chuva
671	276.4	sulfóxido de albendazol 10%	6	227	chuva
680	248.2	sulfóxido de albendazol 10%	6	227	chuva
687	312	sulfóxido de albendazol 10%	6	227	chuva
683	260.4	sulfóxido de albendazol 10%	6	227	chuva
682	309	sulfóxido de albendazol 10%	6	227	chuva
663	317	abamectina 1%	10	0	chuva
674	235.6	abamectina 1%	10	0	chuva
677	207.8	abamectina 1%	10	0	chuva
678	259.8	abamectina 1%	10	0	chuva
689	199	abamectina 1%	10	0	chuva
694	225.4	abamectina 1%	10	0	chuva
696	200.6	abamectina 1%	10	0	chuva
663	307.6	abamectina 1%	11	26	chuva
674	242	abamectina 1%	11	26	chuva
677	223.2	abamectina 1%	11	26	chuva
678	264.2	abamectina 1%	11	26	chuva
689	220.8	abamectina 1%	11	26	chuva
694	239	abamectina 1%	11	26	chuva
696	221	abamectina 1%	11	26	chuva
663	308.2	abamectina 1%	12	53	chuva
674	226	abamectina 1%	12	53	chuva
677	247.4	abamectina 1%	12	53	chuva
678	268	abamectina 1%	12	53	chuva
689	228	abamectina 1%	12	53	chuva
694	255.1	abamectina 1%	12	53	chuva
696	213.1	abamectina 1%	12	53	chuva
663	317.4	abamectina 1%	1	92	chuva
674	253.6	abamectina 1%	1	92	chuva
677	254	abamectina 1%	1	92	chuva
678	292	abamectina 1%	1	92	chuva
689	243.2	abamectina 1%	1	92	chuva
694	253.8	abamectina 1%	1	92	chuva
696	232.4	abamectina 1%	1	92	chuva
663	327.6	abamectina 1%	2	126	chuva
674	242.2	abamectina 1%	2	126	chuva
677	245.8	abamectina 1%	2	126	chuva
678	299	abamectina 1%	2	126	chuva
689	256	abamectina 1%	2	126	chuva
694	277.2	abamectina 1%	2	126	chuva
696	236	abamectina 1%	2	126	chuva
663	337.4	abamectina 1%	3	145	chuva
674	268.2	abamectina 1%	3	145	chuva
